Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,1792147,5586,0.003117,2.9685,1.0,0.009254
Barbour,16441,48,0.00298,3.0361,1.0,0.009049
Berkeley,119171,406,0.003415,3.1242,1.0,0.01067
Boone,21457,54,0.002563,3.2193,1.0,0.008252
Braxton,13957,23,0.00172,3.0234,1.0,0.005199
Brooke,21939,69,0.003191,3.1579,1.0,0.010076
Cabell,91945,337,0.003676,2.7854,1.0401,0.01065
Calhoun,7109,11,0.001688,2.8703,1.0,0.004845
Clay,8508,31,0.003761,3.1639,1.3478,0.016039
Doddridge,8448,15,0.001894,3.2091,1.0,0.006078
Fayette,42406,100,0.002382,2.8808,1.0,0.006861
Gilmer,7823,34,0.004474,3.0324,1.619,0.021965
Grant,11568,60,0.005273,3.3882,2.0,0.035733
Greenbrier,34662,109,0.003174,3.034,1.101,0.010601
Hampshire,23175,74,0.003236,3.1271,1.0,0.01012
Hancock,28810,93,0.003263,3.1847,1.1923,0.012389
Hardy,13776,59,0.004355,3.2833,1.0,0.0143
Harrison,67256,238,0.003554,2.9977,1.0259,0.010928
Jackson,28576,19,0.0007,3.1764,1.0,0.002223
Jefferson,57146,178,0.003132,3.1565,1.092,0.010797
Kanawha,178124,412,0.002319,2.8827,1.0785,0.007209
Lewis,15907,69,0.004401,2.8833,1.2105,0.015359
Lincoln,20409,29,0.00147,2.8091,1.0,0.004129
Logan,32019,194,0.00609,3.308,1.5902,0.032035
McDowell,17624,66,0.003802,2.854,1.1379,0.012346
Marion,56072,232,0.004155,3.1405,1.0311,0.013456
Marshall,30531,148,0.00488,3.192,1.2231,0.019054
Mason,26516,160,0.006072,2.8653,1.3115,0.022817
Mercer,58758,105,0.001804,2.7956,1.0,0.005043
Mineral,26868,88,0.003312,2.7693,1.0,0.009173
Mingo,23424,61,0.002647,2.9802,1.0,0.007888
Monongalia,105612,299,0.002841,2.9697,1.0,0.008436
Monroe,13275,33,0.002561,3.0659,1.0,0.007852
Morgan,17884,32,0.001845,3.08,1.1034,0.006271
Nicholas,24496,54,0.002245,2.9045,1.0,0.006521
Ohio,41411,180,0.004371,3.1381,1.1613,0.015928
Pendleton,6969,47,0.006888,3.3531,1.0,0.023095
Pleasants,7460,20,0.002815,2.9585,1.0,0.008328
Pocahontas,8247,9,0.001213,2.8734,1.0,0.003484
Preston,33432,66,0.002004,3.1058,1.0,0.006224
Putnam,56450,169,0.003012,2.8747,1.0974,0.0095
Raleigh,73361,249,0.003408,3.0324,1.0,0.010334
Randolph,28695,108,0.003799,3.1376,1.0,0.011918
Ritchie,9554,37,0.003977,3.2104,1.1212,0.014317
Roane,13688,19,0.001461,2.7867,1.0,0.004072
Summers,12573,26,0.002147,2.7154,1.625,0.009476
Taylor,16695,63,0.003833,3.1376,1.3404,0.016123
Tucker,6839,21,0.003217,2.8328,1.0,0.009113
Tyler,8591,30,0.003608,3.2976,1.0,0.011899
Upshur,24176,77,0.003226,3.1131,1.0,0.010044
Wayne,39402,144,0.00368,2.8703,1.0588,0.011184
Webster,8114,21,0.002711,3.0639,1.4,0.01163
Wetzel,15065,58,0.003916,3.1555,1.0,0.012358
Wirt,5821,18,0.003264,3.176,1.0588,0.010976
Wood,83518,198,0.002383,2.9652,1.0,0.007065
Wyoming,20394,86,0.004266,3.2448,1.0617,0.014697
