Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,6829174,18543,0.002715,3.0903,1.0,0.008391
Anderson,76978,217,0.002832,3.0037,1.0,0.008506
Bedford,49713,96,0.001951,3.1328,1.0,0.006113
Benton,16160,33,0.002104,3.2934,1.65,0.011433
Bledsoe,15064,54,0.003651,3.2535,1.35,0.016036
Blount,133088,286,0.002156,3.0684,1.0,0.006617
Bradley,108110,339,0.003145,3.7924,1.0,0.011927
Campbell,39842,90,0.002284,2.8888,1.0,0.006598
Cannon,14678,41,0.002861,3.1992,1.025,0.009383
Carroll,27767,103,0.003745,3.2326,1.3038,0.015786
Carter,56391,104,0.001862,3.4447,1.0,0.006414
Cheatham,40667,112,0.002779,3.2113,1.0,0.008923
Chester,17297,65,0.003816,3.1072,1.25,0.01482
Claiborne,31959,119,0.003755,3.3944,1.0,0.012745
Clay,7615,14,0.00197,2.8851,1.0,0.005683
Cocke,36004,108,0.003027,3.175,1.0,0.009612
Coffee,56520,127,0.002265,2.9397,1.0,0.006657
Crockett,14230,25,0.001827,3.2082,1.0,0.005862
Cumberland,60520,96,0.001603,3.1513,1.0,0.005051
Davidson,694144,1824,0.002629,3.6051,1.0,0.009478
Decatur,11663,23,0.002058,3.1362,1.3529,0.008731
DeKalb,20490,58,0.002879,3.1555,1.1373,0.010333
Dickson,53948,183,0.003411,3.3902,1.0,0.011563
Dyer,37159,107,0.002906,3.3654,1.0,0.009781
Fayette,41133,108,0.00265,3.0679,1.0,0.00813
Fentress,18523,31,0.001728,2.7908,1.0,0.004821
Franklin,42208,110,0.00263,3.6388,1.0,0.009569
Gibson,49133,130,0.002666,3.2264,1.0156,0.008737
Giles,29464,81,0.002783,3.2586,1.0,0.009069
Grainger,23320,56,0.002444,2.9477,1.0,0.007205
Greene,69069,114,0.001665,3.5953,1.0,0.005986
Grundy,13427,44,0.003351,3.2439,1.0233,0.011125
Hamblen,64934,179,0.002772,3.0552,1.0,0.008469
Hamilton,367804,1139,0.003099,3.1588,1.0,0.009791
Hancock,6620,19,0.003021,3.226,1.1176,0.010893
Hardeman,25050,62,0.002515,2.942,1.0,0.007399
Hardin,25652,46,0.001832,3.0618,1.0,0.00561
Hawkins,56786,183,0.00324,3.7549,1.2039,0.014648
Haywood,17304,64,0.003756,3.2513,1.1034,0.013476
Henderson,28117,67,0.002418,3.3154,1.1964,0.009593
Henry,32345,58,0.001824,3.1602,1.0,0.005764
Hickman,25178,51,0.002065,3.0413,1.0,0.006281
Houston,8201,11,0.001463,3.1126,1.0,0.004554
Humphreys,18582,40,0.002206,2.9753,1.0,0.006565
Jackson,11786,25,0.002206,3.4948,1.0,0.00771
Jefferson,54495,171,0.003156,3.016,1.0,0.009519
Johnson,17788,46,0.002642,3.5997,1.3143,0.012501
Knox,470313,1209,0.002573,3.5953,1.0,0.00925
Lake,7016,66,0.00955,2.9972,2.0,0.057244
Lauderdale,25633,44,0.001756,2.879,1.0,0.005054
Lawrence,44142,130,0.002968,3.0537,1.0,0.009062
Lewis,12268,42,0.003505,3.6195,1.1667,0.014801
Lincoln,34366,92,0.002706,3.2625,1.0337,0.009126
Loudon,54068,175,0.003255,3.2383,1.1824,0.012464
McMinn,53794,153,0.002863,3.4076,1.0,0.009755
McNairy,25694,66,0.002608,2.9169,1.0,0.007606
Macon,24602,59,0.002439,3.4733,1.0,0.008471
Madison,97984,248,0.002541,3.093,1.0644,0.008366
Marion,28907,46,0.001626,3.2369,1.0,0.005263
Marshall,34375,102,0.002996,3.5548,1.0,0.010651
Maury,96387,316,0.003289,3.3745,1.0,0.011098
Meigs,12422,32,0.002657,3.4919,1.0,0.009277
Monroe,46545,153,0.003309,3.2744,1.0338,0.0112
Montgomery,208993,617,0.002957,3.1824,1.0,0.00941
Moore,6488,23,0.003699,3.9366,1.0,0.014562
Morgan,21403,54,0.00257,3.5586,1.0,0.009145
Obion,30069,73,0.002461,2.8857,1.0429,0.007406
Overton,22241,43,0.001978,3.0256,1.0,0.005986
Perry,8076,18,0.002353,3.0428,1.125,0.008054
Pickett,5048,14,0.002971,3.1461,1.0769,0.010068
Polk,16832,60,0.003624,3.6202,1.0,0.01312
