Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,5148714,24499,0.004758,3.2323,1.0,0.015381
Abbeville,24527,130,0.005341,3.4095,1.0,0.01821
Aiken,170872,965,0.005653,3.5433,1.1054,0.022142
Allendale,8688,33,0.003913,3.444,1.0,0.013478
Anderson,202558,966,0.004774,3.4455,1.0,0.016449
Bamberg,14066,63,0.00455,3.5422,1.0862,0.017506
Barnwell,20866,106,0.005128,3.3906,1.0095,0.017552
Beaufort,192122,779,0.00406,3.1851,1.0,0.012931
Berkeley,227907,746,0.003278,3.3769,1.0,0.011068
Calhoun,14553,61,0.00426,3.4582,1.0,0.014733
Charleston,411406,1889,0.004594,3.0428,1.0,0.013979
Cherokee,57300,229,0.004014,3.4191,1.0,0.013724
Chester,32244,163,0.005086,3.3117,1.0,0.016844
Chesterfield,45650,269,0.005915,3.2706,1.076,0.020814
Clarendon,33745,138,0.004119,3.3459,1.0,0.013782
Colleton,37677,147,0.003928,3.086,1.0,0.012122
Darlington,66618,507,0.007626,3.3174,1.2276,0.031055
Dillon,30479,151,0.004987,3.4784,1.0,0.017347
Dorchester,162809,842,0.005178,3.3059,1.0,0.017117
Edgefield,27260,175,0.006456,3.6708,1.0,0.0237
Fairfield,22347,85,0.003848,3.0319,1.0,0.011668
Florence,138293,558,0.004042,3.2659,1.0,0.013201
Georgetown,62680,194,0.003111,3.1077,1.0,0.009668
Greenville,523542,2950,0.005637,3.3867,1.0,0.019089
Greenwood,70811,390,0.005522,3.5313,1.0,0.019499
Hampton,19222,96,0.005046,3.4582,1.1707,0.02043
Horry,354081,1477,0.004174,3.2863,1.0,0.013717
Jasper,30073,93,0.003126,3.3599,1.0,0.010502
Kershaw,66551,361,0.005439,3.1261,1.0,0.017004
Lancaster,98012,530,0.005418,3.3662,1.0,0.018237
Laurens,67493,332,0.004934,3.2642,1.0,0.016105
Lee,16828,85,0.005111,3.1328,1.0366,0.016596
Lexington,298750,1318,0.004415,3.1111,1.0,0.013736
McCormick,9463,60,0.006446,3.3059,1.0,0.02131
Marion,30657,115,0.003784,3.3219,1.0,0.01257
Marlboro,26118,129,0.004977,3.1028,1.0,0.015444
Newberry,38440,143,0.003746,2.854,1.0,0.010691
Oconee,79546,376,0.004739,3.4466,1.0,0.016335
Orangeburg,86175,438,0.005094,3.2396,1.0,0.016503
Pickens,126884,625,0.004934,3.3527,1.0,0.016541
Richland,415759,1848,0.004447,2.9471,1.0,0.013107
Saluda,20473,85,0.004201,3.5114,1.0,0.01475
Spartanburg,319785,1773,0.005547,3.3252,1.0,0.018447
Sumter,106721,539,0.00506,3.4179,1.0,0.017294
Union,27316,139,0.005125,3.256,1.0,0.016688
Williamsburg,30368,191,0.006322,3.4474,1.0,0.021796
York,280979,1210,0.00431,3.1667,1.0,0.013648
