Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,12671821,23882,0.001885,2.7148,1.0,0.005117
Adams,65435,153,0.002353,2.6438,1.0,0.006222
Alexander,5761,10,0.001909,2.8527,1.0,0.005447
Bond,16426,24,0.001522,2.4148,1.0,0.003675
Boone,53544,59,0.001121,2.9051,1.0,0.003255
Brown,6578,15,0.002432,2.7756,1.0,0.006751
Bureau,32628,62,0.001931,2.7798,1.0,0.005367
Calhoun,4739,3,0.000844,2.4879,1.0,0.0021
Carroll,14305,28,0.002027,2.8217,1.0,0.00572
Cass,12147,39,0.003293,2.4558,1.0,0.008087
Champaign,209689,441,0.002108,2.3051,1.0,0.004859
Christian,32304,62,0.00195,2.5948,1.0,0.005061
Clark,15441,60,0.003951,2.8972,1.0345,0.01184
Clay,13184,35,0.002731,2.7729,1.129,0.008548
Clinton,37562,137,0.003674,2.8393,1.0,0.010431
Coles,50621,96,0.001916,2.8064,1.0,0.005378
Cook,5150233,8450,0.001641,2.8144,1.0,0.004618
Crawford,18667,59,0.003214,2.6661,1.0,0.008569
Cumberland,10766,12,0.001208,2.6119,1.0,0.003154
DeKalb,104897,154,0.001478,2.8037,1.0,0.004143
De Witt,15638,16,0.001087,2.6813,1.0,0.002915
Douglas,19465,67,0.003493,2.8777,1.0,0.010053
DuPage,922921,1540,0.00167,2.799,1.0,0.004674
Edgar,17161,14,0.000874,2.4251,1.0,0.00212
Edwards,6395,13,0.002189,2.2849,1.0,0.005002
Effingham,34008,29,0.000882,2.5866,1.0,0.002282
Fayette,21336,44,0.002109,2.6717,1.0,0.005635
Ford,12961,28,0.002237,2.7665,1.0,0.00619
Franklin,38469,51,0.001352,2.7259,1.0,0.003685
Fulton,34340,69,0.002038,2.6496,1.0,0.005401
Gallatin,4828,13,0.0029,3.1504,1.1818,0.010796
Greene,12969,33,0.002622,2.7805,1.1,0.008018
Grundy,51054,145,0.00286,2.9835,1.0,0.008532
Hamilton,8116,19,0.002464,3.4429,1.1875,0.010075
Hancock,17708,39,0.002259,2.7854,1.0,0.006292
Hardin,3821,6,0.001832,2.7032,1.0,0.004952
Henderson,6646,9,0.001505,2.9437,1.0,0.004429
Henry,48913,63,0.001308,2.5745,1.0,0.003369
Iroquois,27114,44,0.00166,2.8565,1.0233,0.004851
Jackson,56750,102,0.001815,2.6829,1.0,0.004869
Jasper,9610,18,0.001977,2.6163,1.0,0.005173
Jefferson,37684,148,0.003954,3.0935,1.0,0.012231
Jersey,21773,57,0.002664,2.6207,1.0,0.006981
Jo Daviess,21235,25,0.001224,2.8406,1.0,0.003478
Johnson,12417,42,0.003463,2.6709,1.0,0.009249
Kane,532403,1050,0.001974,2.9579,1.0,0.005839
Kankakee,109862,163,0.001493,2.7154,1.0,0.004054
Kendall,128990,337,0.00262,2.9697,1.0,0.007782
Knox,49699,89,0.001811,2.8104,1.0,0.005089
Lake,696535,1256,0.001805,2.866,1.0,0.005172
LaSalle,108669,297,0.002742,2.8802,1.0,0.007898
Lawrence,15678,19,0.001276,2.4675,1.0,0.003148
Lee,34096,74,0.0022,2.6931,1.0,0.005924
Livingston,35648,132,0.003731,2.7922,1.0,0.010418
Logan,28618,46,0.001642,2.5355,1.0,0.004164
McDonough,29682,40,0.001381,2.7222,1.0,0.00376
McHenry,307774,547,0.001781,2.9098,1.0,0.005181
McLean,171517,323,0.001889,2.7055,1.0,0.005111
Macon,104009,121,0.001173,2.6429,1.0,0.0031
Macoupin,44926,117,0.002627,2.8171,1.0,0.007399
Madison,262966,822,0.00313,3.0329,1.0,0.009492
Marion,37205,88,0.002392,2.6733,1.0,0.006395
Marshall,11438,44,0.003934,3.034,1.0,0.011936
Mason,13359,29,0.002246,3.0192,1.0,0.00678
Massac,13772,54,0.003994,3.0865,1.0189,0.012559
Menard,12196,40,0.003362,2.9708,1.0,0.009987
Mercer,15437,19,0.001296,2.9742,1.0,0.003853
Monroe,34637,134,0.003898,3.087,1.0,0.012032
Montgomery,28414,105,0.003731,2.618,1.0,0.009767
Morgan,33658,46,0.001396,2.5679,1.0,0.003586
Moultrie,14501,17,0.001241,2.9146,1.0,0.003618
Ogle,50643,88,0.001757,2.8197,1.0,0.004955
Peoria,179179,330,0.001847,2.7311,1.0,0.005045
Perry,20916,93,0.004494,2.6765,1.0,0.012029
Piatt,16344,35,0.002203,2.5602,1.2069,0.006806
Pike,15561,33,0.002185,2.882,1.0,0.006297
Pope,4177,6,0.001676,3.0402,1.0,0.005095
Pulaski,5335,21,0.004124,3.0042,1.4,0.017344
Putnam,5739,16,0.002962,3.0287,1.2308,0.011042
Randolph,31782,65,0.002077,2.5921,1.0,0.005383
Richland,15513,26,0.00174,2.8071,1.0,0.004886
Rock Island,141879,210,0.001487,2.825,1.0,0.004201
St. Clair,259686,663,0.002557,2.9454,1.0,0.007531
Saline,23491,46,0.002001,2.799,1.0,0.0056
Sangamon,194672,342,0.001762,2.6404,1.0,0.004652
Schuyler,6768,10,0.001625,2.5563,1.0,0.004155
Scott,4951,14,0.00303,2.5415,1.0,0.0077
Shelby,21634,25,0.001202,2.5659,1.0,0.003084
Stark,5342,3,0.000749,2.3103,1.0,0.00173
Stephenson,44498,113,0.002562,2.8004,1.0,0.007174
Tazewell,131803,346,0.002633,2.9234,1.0,0.007696
Union,16653,63,0.003843,2.8572,1.0,0.01098
Vermilion,75758,234,0.003102,2.8647,1.0,0.008886
Wabash,11520,29,0.002604,2.7736,1.0,0.007223
Warren,16844,24,0.001484,2.5985,1.0909,0.004207
Washington,13887,26,0.001944,2.6412,1.0,0.005135
Wayne,16215,38,0.002405,2.5679,1.027,0.006343
White,13537,69,0.005171,3.5607,1.0,0.018412
Whiteside,55175,132,0.002411,2.9511,1.0,0.007114
Will,690743,1502,0.002176,2.7977,1.0,0.006087
Williamson,66597,161,0.002433,2.8004,1.0,0.006812
Winnebago,282572,478,0.001695,2.7537,1.0,0.004668
Woodford,38459,105,0.002756,2.7385,1.0,0.007548
