Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,7614893,11194,0.00147,2.8673,1.0,0.004215
Adams,19983,57,0.002902,3.1513,1.7273,0.015799
Asotin,22582,25,0.001151,3.6447,1.0,0.004196
Benton,204390,126,0.000621,2.8609,1.0,0.001778
Chelan,77200,144,0.001878,2.7895,1.0,0.005239
Clallam,77331,31,0.000414,2.5679,1.0,0.001063
Clark,488241,729,0.001495,2.9128,1.0,0.004355
Columbia,3985,9,0.002509,2.8673,1.0,0.007195
Cowlitz,110593,277,0.002514,3.1583,1.0,0.007939
Douglas,43429,57,0.001336,2.6003,1.0,0.003473
Ferry,7627,2,0.000393,2.4879,1.0,0.000979
Franklin,95222,485,0.005104,2.8496,1.7963,0.026125
Garfield,2225,2,0.001348,2.8673,1.0,0.003866
Grant,97733,192,0.001975,2.9602,1.0,0.005846
Grays Harbor,75061,155,0.002078,2.6947,1.0544,0.005905
Island,85141,42,0.000505,2.5294,1.0,0.001277
Jefferson,32221,27,0.000869,2.4698,2.0,0.004293
King,2252782,2486,0.001104,2.9163,1.0,0.00322
Kitsap,271473,197,0.000729,2.7296,1.0,0.001991
Kittitas,47935,61,0.001293,3.093,1.0893,0.004358
Klickitat,22425,16,0.000758,3.3162,1.0,0.002514
Lewis,80707,193,0.002404,2.9929,1.1627,0.008364
Lincoln,10939,9,0.000914,2.3722,1.125,0.00244
Mason,66768,69,0.001048,2.9647,1.0,0.003108
Okanogan,42243,46,0.001113,2.978,1.0,0.003313
Pacific,22471,24,0.001113,3.3166,1.0,0.00369
Pend Oreille,13724,16,0.001239,3.2967,1.0,0.004084
Pierce,904980,1589,0.001757,2.8546,1.0,0.005015
San Juan,17582,5,0.000341,2.8496,2.0,0.001945
Skagit,129205,145,0.00113,2.7637,1.0,0.003123
Skamania,12083,6,0.000579,2.9961,1.0,0.001736
Snohomish,822083,797,0.000971,2.6612,1.0,0.002583
Spokane,522798,1430,0.002737,2.9912,1.1077,0.009069
Stevens,45723,65,0.001443,3.5895,1.5116,0.007832
Thurston,290536,296,0.001022,2.7922,1.0,0.002854
Wahkiakum,4488,4,0.001114,2.7756,1.3333,0.004123
Walla Walla,60760,156,0.002584,3.1865,1.0,0.008234
Whatcom,229247,395,0.001727,2.8502,1.0942,0.005387
Whitman,50104,59,0.001198,2.6215,1.0,0.003139
Yakima,250873,769,0.003069,3.2023,1.0,0.009829
