Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,1787065,3132,0.001753,2.989,1.0,0.00524
Ada,481587,869,0.001807,2.9483,1.0,0.005326
Adams,4294,1,0.000466,2.6215,1.0,0.001221
Bannock,87808,133,0.001526,2.9596,1.0,0.004517
Bear Lake,6125,4,0.000816,2.4401,1.0,0.001992
Benewah,9298,7,0.00086,2.3678,1.0,0.002037
Bingham,46811,55,0.001196,2.707,1.0,0.003238
Blaine,23021,102,0.004474,3.2312,1.0,0.014457
Boise,7831,2,0.000383,2.564,1.0,0.000982
Bonner,45739,145,0.003192,3.0069,1.0,0.009598
Bonneville,119062,165,0.001394,2.8348,1.0,0.003952
Boundary,12245,19,0.001633,2.5159,1.0,0.004109
Butte,2597,1,0.00077,3.4711,1.0,0.002673
Camas,1106,2,0.002712,2.9494,1.0,0.008
Canyon,229849,405,0.001766,3.0261,1.0,0.005345
Caribou,7155,6,0.000978,2.6813,1.0,0.002623
Cassia,24030,41,0.001748,2.8691,1.2059,0.006047
Clark,845,0,0.001183,2.989,1.0,0.003537
Clearwater,8756,23,0.002741,2.3387,1.0,0.00641
Custer,4315,1,0.000463,2.9304,1.0,0.001358
Elmore,27511,27,0.001018,2.7763,1.0,0.002826
Franklin,13876,14,0.001081,3.1428,1.0,0.003397
Fremont,13099,13,0.001069,2.7147,1.0,0.002901
Gem,18112,37,0.002098,3.1352,1.0,0.006578
Gooding,15179,15,0.001054,2.6538,1.0,0.002797
Idaho,16667,9,0.0006,2.8972,1.0,0.001738
Jefferson,29871,35,0.001205,2.823,1.0,0.003402
Jerome,24412,19,0.000819,3.1764,1.0,0.002602
Kootenai,165697,426,0.002577,3.1597,1.0,0.008143
Latah,40108,68,0.00172,3.6595,1.0149,0.00639
Lemhi,8027,1,0.000249,2.989,1.0,0.000745
Lewis,3838,6,0.001824,3.2858,2.0,0.011986
Lincoln,5366,8,0.001677,3.1555,1.0,0.005293
Madison,39907,108,0.002731,3.3092,1.0093,0.009123
Minidoka,21039,27,0.001331,2.9852,1.0,0.003973
Nez Perce,40408,39,0.00099,3.0165,1.0,0.002986
Oneida,4531,15,0.003531,3.3761,1.0,0.011922
Owyhee,11823,8,0.000761,3.0765,1.0,0.002342
Payette,23951,20,0.000877,2.8559,1.0,0.002504
Power,7681,16,0.002213,2.8765,1.0,0.006366
Shoshone,12882,11,0.000932,3.0303,1.0,0.002823
Teton,12142,59,0.004942,2.8031,1.0,0.013851
Twin Falls,86878,105,0.00122,2.8771,1.0,0.00351
Valley,11392,42,0.003775,3.2422,1.0,0.012238
Washington,10194,23,0.002354,2.8839,1.0,0.00679
