Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,1068778,2254,0.00211,2.8353,1.0063,0.006019
Beaverhead,9453,9,0.001058,2.9193,1.125,0.003474
Big Horn,13319,4,0.000375,2.4823,1.0,0.000932
Blaine,6681,41,0.006286,3.3439,2.0,0.042042
Broadwater,6237,16,0.002726,3.3843,1.6,0.014759
Carbon,10725,16,0.001585,2.7763,1.0,0.004401
Carter,1252,0,0.000799,2.8353,1.0,0.002265
Cascade,81366,22,0.000283,2.7544,1.0,0.000779
Chouteau,5635,14,0.002662,3.163,2.0,0.016839
Custer,11402,32,0.002894,2.2569,2.0,0.013064
Daniels,1690,8,0.005325,3.8442,1.0,0.020472
Dawson,8613,29,0.003483,3.1537,1.45,0.015928
Deer Lodge,9140,27,0.003063,3.1499,1.0,0.00965
Fallon,2846,1,0.000703,2.8353,1.0,0.001992
Fergus,11050,20,0.0019,3.0845,1.1111,0.006513
Flathead,103806,282,0.002726,3.0376,1.093,0.009052
Gallatin,114434,271,0.002377,2.6701,1.0,0.006347
Garfield,1258,1,0.00159,2.8353,1.0,0.004508
Glacier,13753,51,0.003781,2.6986,1.8889,0.019273
Golden Valley,821,1,0.002436,2.9494,1.0,0.007185
Granite,3379,6,0.002072,3.1906,2.0,0.013219
Hill,16484,27,0.001699,3.024,2.0,0.010273
Jefferson,12221,26,0.002209,3.0475,1.0,0.006733
Judith Basin,2007,2,0.001495,3.0402,1.0,0.004544
Lake,30458,26,0.000886,2.8869,1.0,0.002559
Lewis and Clark,69432,151,0.002189,3.1285,1.0,0.006849
Liberty,2337,3,0.001712,4.2419,1.0,0.00726
Lincoln,19980,28,0.001451,2.6604,1.0,0.003861
McCone,1664,3,0.002404,3.3431,1.0,0.008036
Madison,8600,11,0.001395,3.1223,1.0,0.004357
Meagher,1862,2,0.001611,3.6447,1.0,0.005872
Mineral,4397,4,0.001137,2.978,2.0,0.006773
Missoula,119600,193,0.001622,2.8224,1.0,0.004578
Musselshell,4633,6,0.001511,2.8104,2.0,0.008493
Park,16606,21,0.001325,2.7024,1.0,0.00358
Petroleum,487,1,0.004107,2.8353,1.0,0.011644
Phillips,3954,14,0.003794,3.4244,1.0,0.012991
Pondera,5911,15,0.002707,2.5075,1.0,0.006787
Powder River,1682,1,0.001189,2.8353,1.0,0.003371
Powell,6890,11,0.001742,3.181,1.0,0.00554
Prairie,1077,0,0.000929,2.8353,1.0,0.002633
Ravalli,43806,79,0.001826,2.995,2.0,0.010939
Richland,10803,13,0.001296,2.6781,1.0,0.003471
Roosevelt,11004,43,0.003999,3.5327,1.72,0.024296
Rosebud,8937,11,0.001343,2.3836,1.0,0.003201
Sanders,12113,7,0.00066,3.0234,1.0,0.001997
Sheridan,3309,7,0.002418,2.5563,2.0,0.01236
Silver Bow,34915,115,0.003322,3.0282,1.9492,0.01961
Stillwater,9642,27,0.002904,3.3191,2.0,0.019277
Sweet Grass,3737,3,0.00107,2.5592,1.0,0.002739
Teton,6147,25,0.00423,3.3831,1.087,0.015554
Toole,4736,7,0.001689,3.072,1.0,0.005189
Treasure,696,0,0.001437,3.4711,1.0,0.004987
Valley,7396,44,0.006084,4.1608,2.0,0.050632
Wheatland,2126,3,0.001881,2.8058,1.5,0.007918
Wibaux,969,0,0.001032,2.8353,1.0,0.002926
Yellowstone,161300,474,0.002945,2.6955,1.8372,0.014583
