Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,2913314,7505,0.002576,2.9086,1.0,0.007494
Allen,12369,58,0.00477,3.0361,1.0,0.014482
Anderson,7858,16,0.002163,3.0075,1.0,0.006506
Atchison,16073,37,0.002364,2.8565,1.0,0.006753
Barber,4427,9,0.002259,3.4076,1.0,0.007697
Barton,25779,24,0.00097,2.7055,1.0,0.002624
Bourbon,14534,25,0.001789,2.9181,1.0,0.00522
Brown,9564,11,0.001255,3.0745,1.0,0.003858
Butler,66911,151,0.002272,2.9021,1.0,0.006593
Chase,2648,2,0.001133,2.3322,1.0,0.002642
Chautauqua,3250,6,0.002154,2.3512,1.0,0.005064
Cherokee,19939,86,0.004363,3.049,1.1169,0.014859
Cheyenne,2657,3,0.001505,2.2611,1.0,0.003404
Clark,1994,4,0.002508,2.3138,1.0,0.005802
Clay,8002,23,0.002999,3.3607,1.15,0.011591
Cloud,8786,8,0.001024,3.0058,1.0,0.003079
Coffey,8179,12,0.001589,3.2706,1.0,0.005198
Comanche,1700,1,0.001176,3.3431,1.0,0.003933
Cowley,34908,166,0.004784,3.0303,1.0,0.014497
Crawford,38818,127,0.003297,3.0659,1.0,0.01011
Decatur,2827,2,0.001061,3.8185,1.0,0.004052
Dickinson,18466,66,0.003628,3.4083,1.0,0.012366
Doniphan,7600,27,0.003684,3.3503,1.0,0.012343
Douglas,122259,204,0.001677,2.4438,1.0,0.004098
Edwards,2798,2,0.001072,2.8419,1.0,0.003047
Elk,2530,5,0.002372,3.5394,1.0,0.008394
Ellis,28553,45,0.001611,3.034,1.0227,0.004999
Ellsworth,6102,14,0.002458,3.6065,1.0769,0.009547
Finney,36467,57,0.00159,2.847,1.0,0.004528
Ford,33619,27,0.000833,2.8031,1.0,0.002335
Franklin,25544,92,0.003641,3.078,1.0,0.011206
Geary,31670,121,0.003852,2.9994,1.3297,0.015363
Gove,2636,11,0.004552,4.1354,1.8333,0.034514
Graham,2482,3,0.001612,2.9641,1.0,0.004777
Grant,7150,9,0.001399,3.5997,1.2857,0.006473
Gray,5988,6,0.001169,2.69,2.0,0.006289
Greeley,1232,-1,0.0,2.4698,1.0,0.0
Greenwood,5982,10,0.001839,3.0319,1.0,0.005575
Hamilton,2539,1,0.000788,2.5075,1.0,0.001975
Harper,5436,5,0.001104,2.6003,1.0,0.00287
Harvey,34429,78,0.002295,3.0096,1.0,0.006906
Haskell,3968,5,0.001512,3.4711,1.0,0.005249
Hodgeman,1794,8,0.005017,3.7363,2.0,0.037488
Jackson,13171,28,0.002202,3.1082,1.0,0.006844
Jefferson,19043,37,0.001995,2.9896,1.0,0.005966
Jewell,2879,0,0.000347,2.5563,1.0,0.000888
Johnson,602401,1721,0.002859,2.7888,1.0,0.007972
