Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,19453561,81172,0.004173,2.9102,1.0,0.012143
Albany,305506,1151,0.003771,2.8777,1.0,0.010851
Allegany,46091,106,0.002321,2.9736,1.0,0.006903
Bronx,1418207,7762,0.005474,3.0397,1.0032,0.016693
Broome,190488,786,0.004131,3.0629,1.0,0.012654
Cattaraugus,76117,186,0.002457,2.882,1.0,0.00708
Cayuga,76576,212,0.002782,2.95,1.0,0.008205
Chautauqua,126903,461,0.003641,3.0101,1.0,0.010959
Chemung,83456,199,0.002396,2.7707,1.0,0.00664
Chenango,47207,176,0.003749,2.9385,1.0,0.011018
Clinton,80485,291,0.003628,2.924,1.0,0.010608
Columbia,59461,239,0.004036,2.9414,1.0,0.011872
Cortland,47581,91,0.001934,2.7086,1.0,0.005237
Delaware,44135,92,0.002107,2.8827,1.0,0.006074
Dutchess,294218,1292,0.004395,3.0155,1.0,0.013252
Erie,918702,2769,0.003015,2.8863,1.0,0.008703
Essex,36885,71,0.001952,2.5735,1.0,0.005024
Franklin,50022,212,0.004258,2.9163,1.0,0.012418
Fulton,53383,262,0.004927,3.077,1.0,0.015159
Genesee,57280,160,0.002811,2.9051,1.0,0.008165
Greene,47188,149,0.003179,2.9033,1.0,0.009229
Hamilton,4416,50,0.011549,3.222,2.0,0.074421
Herkimer,61319,273,0.004468,3.1077,1.0,0.013887
Jefferson,109834,360,0.003287,2.8759,1.0,0.009452
Kings,2559903,11353,0.004435,2.9269,1.0,0.012982
Lewis,26296,102,0.003917,2.911,1.0,0.011402
Livingston,62914,137,0.002193,2.879,1.0,0.006315
Madison,70941,162,0.002298,2.7147,1.0,0.006237
Monroe,741770,1898,0.00256,2.8565,1.0,0.007313
Montgomery,49221,235,0.004795,3.1769,1.0,0.015232
Nassau,1356924,7454,0.005494,2.9714,1.0,0.016325
New York,1628706,5634,0.00346,2.7093,1.0285,0.009641
Niagara,209281,819,0.003918,2.9402,1.0,0.01152
Oneida,228671,676,0.002961,2.8457,1.0,0.008425
Onondaga,460528,977,0.002124,2.7693,1.0,0.005881
Ontario,109777,236,0.002159,2.7162,1.0,0.005864
Orange,384940,1862,0.00484,3.0765,1.0,0.014889
Orleans,40352,138,0.003445,2.9281,1.0299,0.010387
Oswego,117124,262,0.002245,2.9104,1.0,0.006535
Otsego,59493,120,0.002034,2.7936,1.0,0.005682
Putnam,98320,380,0.003875,2.9086,1.0,0.011271
Queens,2253858,10997,0.00488,3.0324,1.0,0.014797
Rensselaer,158714,504,0.003182,2.8672,1.0,0.009123
Richmond,476143,2384,0.005009,2.8985,1.0,0.014518
Rockland,325789,1377,0.00423,2.9703,1.0,0.012563
St. Lawrence,107740,381,0.003546,2.9304,1.0,0.01039
Saratoga,229863,584,0.002545,2.7348,1.0,0.00696
Schenectady,155299,499,0.00322,2.8802,1.0,0.009273
Schoharie,30999,52,0.00171,2.7997,1.0,0.004787
Schuyler,17807,43,0.002471,2.8653,1.0,0.00708
Seneca,34016,70,0.002087,2.7296,1.0,0.005697
Steuben,95379,259,0.002726,2.7756,1.0702,0.008098
Suffolk,1476601,7744,0.005245,3.0042,1.0,0.015758
Sullivan,75432,183,0.002439,2.8031,1.0,0.006837
Tioga,48203,116,0.002427,2.8387,1.0,0.00689
Tompkins,102180,170,0.001674,2.2997,1.0,0.003849
Ulster,177573,557,0.003142,2.8827,1.0,0.009058
Warren,63944,191,0.003003,2.6471,1.0,0.007948
Washington,61204,172,0.002827,2.7763,1.0,0.007848
Wayne,89918,195,0.00218,2.8309,1.0,0.006171
Westchester,967506,4669,0.004827,2.9901,1.0,0.014433
Wyoming,39859,151,0.003813,3.0229,1.0,0.011528
Yates,24913,61,0.002489,2.77,1.0,0.006894
