Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,884659,1135,0.001284,2.7702,1.0,0.003557
Aurora,2751,6,0.002545,2.6215,1.0,0.006671
Beadle,18453,13,0.000759,2.4148,1.0,0.001832
Bennett,3365,1,0.000594,3.3431,1.0,0.001987
Bon Homme,6901,18,0.002753,2.4401,1.0,0.006718
Brookings,35077,54,0.001568,2.8765,1.0,0.00451
Brown,38839,94,0.002446,2.9901,1.2877,0.009418
Brule,5297,3,0.000755,3.3431,1.0,0.002524
Buffalo,1962,4,0.002548,2.7702,2.0,0.014119
Butte,10429,8,0.000863,3.4729,1.1429,0.003425
Campbell,1376,5,0.00436,2.5563,1.0,0.011147
Charles Mix,9292,21,0.002368,3.2198,1.0,0.007623
Clark,3736,7,0.002141,2.5698,1.0,0.005503
Clay,14070,10,0.000782,2.5485,1.0,0.001992
Codington,28009,41,0.0015,2.2713,1.025,0.003491
Corson,4086,2,0.000734,3.8017,1.0,0.002791
Custer,8972,5,0.000669,3.5013,1.0,0.002341
Davison,19775,23,0.001214,2.4912,1.0,0.003023
Day,5424,16,0.003134,2.5792,1.3333,0.010778
Deuel,4351,5,0.001379,2.6327,1.25,0.004538
Dewey,5892,5,0.001018,2.5563,1.0,0.002603
Douglas,2921,3,0.001369,2.7702,1.0,0.003794
Edmunds,3829,7,0.002089,2.9714,1.0,0.006208
Fall River,6713,7,0.001192,3.0224,1.0,0.003602
Faulk,2299,7,0.00348,2.7702,1.0,0.00964
Grant,7052,18,0.002694,2.8936,1.0,0.007796
Gregory,4185,2,0.000717,3.015,1.0,0.002161
Haakon,1899,0,0.000527,2.879,1.0,0.001516
Hamlin,6164,7,0.001298,3.4711,1.0,0.004505
Hand,3191,-1,0.0,2.6003,1.0,0.0
Hanson,3453,6,0.002027,3.1471,2.0,0.01276
Harding,1298,0,0.00077,2.7702,1.0,0.002134
Hughes,17526,27,0.001598,2.345,1.0,0.003746
Hutchinson,7291,9,0.001372,2.5304,1.0,0.003471
Hyde,1301,0,0.000769,2.7702,1.0,0.002129
Jackson,3344,-1,0.0,2.7702,1.0,0.0
Jerauld,2013,2,0.00149,2.7702,1.0,0.004129
Jones,903,3,0.00443,2.7702,1.0,0.012271
Kingsbury,4939,7,0.00162,2.9494,1.0,0.004777
Lake,12797,11,0.000938,2.6717,1.0,0.002505
Lawrence,25844,20,0.000813,2.5735,1.0,0.002091
Lincoln,61128,89,0.001472,2.6757,1.0,0.00394
Lyman,3781,3,0.001058,3.0402,1.0,0.003216
McCook,5586,5,0.001074,2.8419,1.25,0.003816
McPherson,2379,2,0.001261,3.7583,1.0,0.004739
Marshall,4935,4,0.001013,3.163,1.0,0.003205
Meade,28332,32,0.001165,3.2113,1.0,0.00374
Mellette,2061,2,0.001456,2.7702,1.0,0.004032
Miner,2216,9,0.004513,3.2435,1.125,0.016466
Minnehaha,193134,240,0.001248,2.9009,1.0,0.00362
Moody,6576,5,0.000912,3.163,1.0,0.002886
Oglala Lakota,14177,13,0.000988,2.7355,1.0,0.002701
Pennington,113775,131,0.00116,2.9874,1.0,0.003466
Perkins,2865,10,0.003839,2.7702,1.0,0.010636
Potter,2153,2,0.001393,3.5313,1.0,0.004921
Roberts,10394,13,0.001347,3.015,1.0,0.004061
Sanborn,2344,1,0.000853,2.7702,1.0,0.002364
Spink,6376,8,0.001412,3.2435,1.0,0.004578
Stanley,3098,6,0.00226,2.6003,1.0,0.005875
Sully,1391,1,0.001438,3.4711,1.0,0.004991
Todd,10177,9,0.000983,2.879,1.0,0.002829
Tripp,5441,5,0.001103,2.7756,1.0,0.003061
Turner,8384,6,0.000835,2.5075,1.0,0.002094
Union,15932,32,0.002071,2.7177,1.1034,0.006211
Walworth,5435,2,0.000552,3.0485,1.0,0.001683
Yankton,22814,28,0.001271,2.4213,1.0,0.003078
Ziebach,2756,2,0.001089,2.7702,1.0,0.003016
