Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,3956971,16015,0.004048,3.3414,1.0,0.013525
Adair,22194,195,0.008831,3.736,1.3542,0.044678
Alfalfa,5702,40,0.00719,3.6526,2.0,0.052528
Atoka,13758,41,0.003053,4.0804,1.0,0.012457
Beaver,5311,15,0.003013,2.5201,1.0,0.007592
Beckham,21859,76,0.003523,2.9511,1.0,0.010396
Blaine,9429,65,0.007,4.2407,1.7105,0.050775
Bryan,47995,199,0.004167,3.4251,1.0,0.014273
Caddo,28762,128,0.004485,3.2552,1.0,0.0146
Canadian,148306,468,0.003162,3.2761,1.0,0.01036
Carter,48111,277,0.005778,3.5482,1.0,0.020502
Cherokee,48657,175,0.003617,3.1442,1.0736,0.012211
Choctaw,14672,43,0.002999,3.5092,1.0,0.010524
Cimarron,2137,5,0.002808,3.3414,1.0,0.009382
Cleveland,284014,1061,0.003739,2.9747,1.0,0.011123
Coal,5495,22,0.004186,3.0745,1.0,0.012869
Comanche,120749,864,0.007164,3.341,1.3458,0.03221
Cotton,5666,21,0.003883,3.4711,1.0,0.013478
Craig,14142,53,0.003818,3.2404,1.0,0.012373
Creek,71522,318,0.00446,3.5666,1.0,0.015907
Custer,29003,151,0.005241,3.5565,1.7558,0.032727
Delaware,43009,161,0.003767,3.4477,1.0063,0.013068
Dewey,4891,12,0.002658,2.8496,1.2,0.009089
Ellis,3859,2,0.000777,2.5563,1.0,0.001987
Garfield,61056,347,0.0057,3.5537,1.2711,0.025746
Garvin,27711,140,0.005088,3.0107,1.0,0.015319
Grady,55834,172,0.003098,3.4076,1.0,0.010558
Grant,4333,18,0.004385,3.8991,1.0,0.017097
Greer,5712,8,0.001576,2.6554,1.0,0.004184
Harmon,2653,2,0.001131,3.3414,1.0,0.003778
Harper,3688,2,0.000813,2.7355,1.0,0.002225
Haskell,12627,38,0.003089,2.908,1.0,0.008982
Hughes,13279,45,0.003464,3.3174,1.0,0.011492
Jackson,24530,41,0.001712,2.8399,1.0,0.004863
Jefferson,6002,27,0.004665,3.4402,1.0,0.016049
Johnston,11085,43,0.003969,3.0139,1.0488,0.012547
Kay,43538,206,0.004754,2.8361,1.0,0.013484
Kingfisher,15765,58,0.003742,3.5865,1.0,0.013422
Kiowa,8708,25,0.002986,2.4401,1.0,0.007286
Latimer,10073,31,0.003177,3.1499,1.0,0.010007
Le Flore,49853,290,0.005837,3.3046,1.6384,0.031605
Lincoln,34877,118,0.003412,3.7331,1.0,0.012737
Logan,48011,138,0.002895,3.016,1.0,0.008732
Love,10253,50,0.004974,3.2509,1.0,0.01617
McClain,40474,183,0.004546,3.274,1.0,0.014884
McCurtain,32832,110,0.003381,3.7963,1.2644,0.016228
McIntosh,19596,54,0.002807,3.2055,1.0,0.008997
Major,7629,41,0.005505,4.0695,1.3667,0.030619
Marshall,16931,84,0.00502,3.6418,1.012,0.018503
Mayes,41100,159,0.003893,3.6536,1.0,0.014223
Murray,14073,103,0.00739,3.8891,1.03,0.029603
Muskogee,67997,318,0.004691,3.1755,1.0426,0.015532
Noble,11131,43,0.003953,2.9425,1.1316,0.013162
Nowata,10076,51,0.005161,3.1709,1.0,0.016364
Okfuskee,11993,47,0.004002,3.0402,1.0,0.012168
Oklahoma,797434,2437,0.003057,3.1504,1.0,0.009632
Okmulgee,38465,157,0.004108,3.0964,1.2869,0.016368
Osage,46963,188,0.004024,3.5323,1.0273,0.014604
Ottawa,31127,92,0.002988,3.7567,1.0,0.011224
Pawnee,16376,62,0.003847,3.4504,1.0,0.013274
Payne,81784,319,0.003913,3.0974,1.0,0.012119
Pittsburg,43654,191,0.004398,3.5752,1.0437,0.016412
Pontotoc,38284,228,0.005982,3.2461,1.0,0.019417
Pottawatomie,72592,228,0.003155,3.3835,1.0,0.010674
Pushmataha,11096,34,0.003154,4.5378,1.2593,0.018024
Roger Mills,3583,13,0.003907,2.8496,1.0833,0.012062
Rogers,92459,480,0.005202,3.6312,1.0503,0.019841
Seminole,24258,122,0.00507,3.7684,1.0,0.019108
Sequoyah,41569,176,0.004258,3.6295,1.1282,0.017436
Stephens,43143,189,0.004404,3.0644,1.0,0.013495
Texas,19983,41,0.002102,3.6988,1.2812,0.009961
Tillman,7250,26,0.003724,3.7338,1.1304,0.015719
Tulsa,651552,2891,0.004439,3.4156,1.0,0.015161
Wagoner,81289,390,0.00481,3.5534,1.0,0.017092
Washington,51527,216,0.004211,3.3886,1.3671,0.019509
Washita,10916,25,0.002382,3.4711,1.0,0.008268
Woods,8793,22,0.002616,3.226,1.0,0.008438
Woodward,20211,57,0.00287,3.2799,1.0,0.009413
