Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,10617423,41157,0.003876,3.2429,1.0,0.012571
Appling,18386,64,0.003535,3.7993,1.2308,0.016531
Atkinson,8165,23,0.002939,3.1424,1.0,0.009237
Bacon,11164,50,0.004568,2.9918,1.1905,0.01627
Baker,3038,3,0.001317,3.4357,1.0,0.004524
Baldwin,44890,142,0.003186,3.694,1.0071,0.011851
Banks,19234,37,0.001976,3.3199,1.0,0.006559
Barrow,83240,465,0.005598,3.5461,1.0,0.019852
Bartow,107738,665,0.006182,3.3678,1.0691,0.022258
Ben Hill,16700,59,0.003593,3.5813,1.0,0.012867
Berrien,19397,74,0.003867,3.4966,1.0,0.01352
Bibb,153159,428,0.002801,3.5089,1.0,0.009828
Bleckley,12873,37,0.002952,2.9009,1.0,0.008563
Brantley,19109,78,0.004134,3.3902,1.0,0.014016
Brooks,15457,32,0.002135,3.1305,1.0,0.006683
Bryan,39627,133,0.003382,3.083,1.0,0.010425
Bulloch,79608,272,0.003429,3.25,1.0,0.011145
Burke,22383,101,0.004557,3.3005,1.0,0.01504
Butts,24936,119,0.004812,3.3305,1.0,0.016027
Calhoun,6189,37,0.00614,3.6189,2.0,0.044439
Camden,54666,130,0.002396,3.0845,1.0,0.007392
Candler,10803,10,0.001018,2.9686,1.0,0.003023
Carroll,119992,406,0.003392,3.2028,1.0,0.010864
Catoosa,67580,232,0.003448,3.2638,1.0,0.011253
Charlton,13392,37,0.002838,3.3471,1.3214,0.01255
Chatham,289430,939,0.003248,3.253,1.0,0.010565
Chattahoochee,10907,181,0.016687,3.0402,1.0,0.050731
Chattooga,24789,71,0.002905,3.1405,1.0,0.009121
Cherokee,258773,1296,0.005012,3.2917,1.0,0.016498
Clarke,128331,534,0.004169,3.3563,1.0,0.013992
Clay,2834,6,0.00247,2.8224,1.0,0.006971
Clayton,292256,1101,0.003771,3.2672,1.028,0.012665
Clinch,6618,37,0.005742,3.1504,1.0,0.018089
Cobb,760141,3223,0.004241,3.2426,1.0,0.013753
Coffee,43273,134,0.00312,3.3781,1.4255,0.015023
Colquitt,45600,210,0.004627,3.553,1.2883,0.021181
Columbia,156714,684,0.004371,3.2356,1.0,0.014143
Cook,17270,57,0.003358,3.4682,1.0962,0.012767
Coweta,148509,631,0.004256,3.3133,1.0378,0.014634
Crawford,12404,27,0.002257,3.8074,1.0,0.008595
Crisp,22372,114,0.00514,3.3088,1.2955,0.022033
Dade,16116,48,0.00304,3.0107,1.0909,0.009986
Dawson,26108,97,0.003754,3.9059,1.0,0.014661
Decatur,26404,124,0.004734,3.1257,1.1481,0.016989
DeKalb,759297,2381,0.003137,3.1023,1.0,0.009732
Dodge,20605,68,0.003349,3.6559,1.0,0.012242
Dooly,13390,47,0.003585,3.8321,1.0,0.013737
Dougherty,87956,348,0.003968,3.3658,1.0,0.013355
Douglas,146343,707,0.004838,3.1851,1.0173,0.015676
Early,10190,47,0.004711,2.8197,1.0,0.013282
Echols,4006,2,0.000749,3.6447,1.0,0.002729
Effingham,64296,230,0.003593,3.527,1.1058,0.014012
Elbert,19194,71,0.003751,3.9477,1.0,0.014809
Emanuel,22646,58,0.002605,3.1727,1.0,0.008266
Evans,10654,31,0.003004,4.1099,1.0333,0.012756
Fannin,26188,122,0.004697,3.2586,1.0,0.015305
Fayette,114421,415,0.003636,3.0542,1.0,0.011104
Floyd,98498,371,0.003777,3.0725,1.0,0.011604
Forsyth,244252,933,0.003824,3.3096,1.0,0.012656
Franklin,23349,73,0.003169,3.4474,1.0,0.010926
Fulton,1063937,3364,0.003163,3.0334,1.0,0.009594
Gilmer,31369,144,0.004622,3.3232,1.0827,0.016631
Glascock,2971,9,0.003366,3.4259,1.0,0.011531
Glynn,85292,361,0.004244,2.9408,1.0056,0.012551
Gordon,57963,329,0.005693,3.3925,1.0647,0.020565
Grady,24633,87,0.003572,3.521,1.0235,0.012875
Greene,18324,76,0.004202,3.5285,1.1343,0.016819
Gwinnett,936250,4157,0.004441,3.4168,1.0,0.015174
Habersham,45328,102,0.002272,3.5558,1.0,0.00808
Hall,204441,747,0.003659,3.2041,1.0,0.011723
Hancock,8457,14,0.001774,3.926,1.0,0.006963
Haralson,29792,59,0.002014,3.3634,1.0,0.006774
Harris,35236,119,0.003406,3.5338,1.1782,0.014179
Hart,26205,63,0.002442,3.7165,1.0,0.009077
Heard,11923,29,0.002516,3.6338,1.0741,0.009821
Henry,234561,1054,0.004498,3.1741,1.0,0.014276
Houston,157863,552,0.003503,3.3835,1.0,0.011853
Irwin,9416,23,0.002549,3.8727,1.0,0.009871
Jackson,72977,431,0.00592,3.4541,1.0,0.020447
Jasper,14219,52,0.003727,3.2326,1.0,0.012049
Jeff Davis,15115,83,0.005557,3.6095,1.0921,0.021907
Jefferson,15362,39,0.002604,3.1155,1.0,0.008112
Jenkins,8676,43,0.005071,3.6195,1.0,0.018356
Johnson,9643,40,0.004252,3.6988,1.3793,0.021692
Jones,28735,85,0.002993,3.3162,1.0,0.009925
Lamar,19077,74,0.003931,3.5659,1.0,0.014019
Lanier,10423,33,0.003262,3.4622,1.1379,0.012852
Laurens,47546,232,0.004901,3.324,1.0404,0.016947
Lee,29992,148,0.004968,3.3325,1.0,0.016556
Liberty,61435,193,0.003158,3.5482,1.0,0.011204
Lincoln,7921,43,0.005555,3.6863,1.0,0.020477
Long,19559,56,0.002914,3.1518,1.1429,0.010497
Lowndes,117406,345,0.002947,3.0659,1.0,0.009035
Lumpkin,33610,70,0.002112,3.3678,1.0,0.007114
McDuffie,21312,137,0.006475,4.0283,1.1048,0.028819
McIntosh,14378,35,0.002504,3.1121,1.0,0.007792
Macon,12947,42,0.003321,3.9698,1.0,0.013185
Madison,29880,138,0.004652,3.9439,1.0,0.018347
Marion,8359,34,0.004187,3.2478,1.8889,0.025687
Meriwether,21167,106,0.005055,3.7769,1.0,0.019093
Miller,5718,31,0.005596,2.5405,1.0,0.014218
Mitchell,21863,107,0.00494,3.117,1.5286,0.023536
Monroe,27578,80,0.002937,3.714,1.0,0.010908
Montgomery,9172,22,0.002508,3.7921,1.0,0.009509
Morgan,19276,86,0.004513,3.3042,1.0,0.014913
Murray,40096,205,0.005138,3.3983,1.0,0.017459
Muscogee,195769,597,0.003055,3.4959,1.0,0.010679
Newton,111744,504,0.004519,3.3483,1.0307,0.015596
Oconee,40280,136,0.003401,3.4784,1.0,0.011831
Oglethorpe,15259,50,0.003342,3.2175,1.0,0.010754
Paulding,168667,783,0.004648,3.2504,1.0,0.015109
Peach,27546,103,0.003776,3.463,1.0,0.013075
Pickens,32591,153,0.004725,3.1419,1.0,0.014846
Pierce,19465,64,0.003339,3.2037,1.0,0.010698
Pike,18962,97,0.005168,2.9181,1.0,0.015081
Polk,42613,190,0.004482,3.181,1.0,0.014258
Pulaski,11137,39,0.003592,3.3871,1.0,0.012165
Putnam,22119,77,0.003526,3.5635,1.0,0.012566
Quitman,2299,10,0.004785,3.163,1.0,0.015134
Rabun,17137,43,0.002568,3.2175,1.0,0.008261
Randolph,6778,25,0.003836,3.5146,1.0,0.013482
Richmond,202518,1018,0.005032,3.4418,1.0,0.017318
Rockdale,90896,297,0.003278,3.2014,1.0,0.010496
Schley,5257,4,0.000951,2.3751,1.0,0.002259
Screven,13966,48,0.003509,3.7307,1.0,0.013089
Seminole,8090,10,0.00136,3.2356,1.0,0.0044
Spalding,66703,209,0.003148,3.2295,1.0,0.010167
Stephens,25925,110,0.004282,3.9181,1.0,0.016776
Stewart,6621,20,0.003172,3.57,1.3333,0.015097
Sumter,29524,94,0.003218,3.0418,1.093,0.010698
Talbot,6195,18,0.003067,3.4901,1.0588,0.011334
Taliaferro,1537,6,0.004554,4.0144,1.0,0.018283
Tattnall,25286,102,0.004073,3.3158,1.0099,0.01364
Taylor,8020,21,0.002743,3.4206,1.0,0.009383
Telfair,15860,75,0.004792,2.7494,1.7442,0.022979
Terrell,8531,19,0.002344,3.034,1.0,0.007113
Thomas,44451,180,0.004072,3.6014,1.0,0.014665
Tift,40644,138,0.00342,3.149,1.0,0.010769
Toombs,26830,86,0.003243,3.5366,1.0,0.011468
Towns,12037,30,0.002575,3.1447,1.0,0.008099
Treutlen,6901,36,0.005362,3.9461,1.0,0.021157
Troup,69922,224,0.003218,3.3507,1.0,0.010782
Turner,7985,28,0.003632,2.7429,1.0,0.009962
Twiggs,8120,13,0.001724,3.271,1.0,0.00564
Union,24511,76,0.003141,3.5796,1.0,0.011245
Upson,26320,91,0.003495,3.117,1.0,0.010895
Walker,69761,269,0.00387,2.8151,1.2396,0.013506
Walton,94593,439,0.004652,3.3571,1.0,0.015615
Ware,35734,135,0.003806,2.8374,1.0,0.010799
Warren,5254,35,0.006852,4.176,1.1667,0.033383
Washington,20374,54,0.0027,3.2361,1.0,0.008736
