Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,9986857,12769,0.001279,2.7393,1.0,0.003503
Alcona,10405,22,0.00221,3.0197,2.0,0.01335
Alger,9108,9,0.001098,2.3975,1.0,0.002632
Allegan,118081,172,0.001465,2.8814,1.0,0.004222
Alpena,28405,19,0.000704,2.4687,1.0,0.001738
Antrim,23324,35,0.001543,2.7819,1.2963,0.005566
Arenac,14883,6,0.00047,2.5773,1.0,0.001212
Baraga,8209,5,0.000731,2.087,1.0,0.001525
Barry,61550,89,0.001462,2.7487,1.0,0.004019
Bay,103126,126,0.001232,2.6837,1.0588,0.003499
Benzie,17766,29,0.001689,3.0261,1.0,0.00511
Berrien,153401,285,0.001864,2.8697,1.0,0.00535
Branch,43517,75,0.001746,2.7436,1.0,0.004792
Calhoun,134159,247,0.001849,2.882,1.1279,0.006009
Cass,51787,89,0.001738,3.094,1.0,0.005377
Charlevoix,26143,29,0.001148,2.5425,1.2083,0.003525
Cheboygan,25276,11,0.000475,2.3086,1.1,0.001206
Chippewa,37349,26,0.000723,2.3015,1.0,0.001664
Clare,30950,65,0.002132,2.9813,1.0,0.006358
Clinton,79595,132,0.001671,2.7063,1.0,0.004522
Crawford,14029,26,0.001925,2.9934,1.7333,0.009986
Delta,35784,15,0.000447,2.392,1.0,0.00107
Dickinson,25239,18,0.000753,2.5043,1.0,0.001885
Eaton,110268,209,0.001904,2.9205,1.0,0.005562
Emmet,33415,39,0.001197,2.6353,1.1818,0.003728
Genesee,405813,297,0.000734,2.618,1.0,0.001922
Gladwin,25449,35,0.001415,2.6404,1.0,0.003735
Gogebic,13975,49,0.003578,3.1121,1.1667,0.01299
Grand Traverse,93088,108,0.001171,2.8111,1.0,0.003292
Gratiot,40711,52,0.001302,2.4629,1.0,0.003206
Hillsdale,45605,80,0.001776,3.07,1.0,0.005453
Houghton,35684,51,0.001457,2.7252,1.0,0.003971
Huron,30981,56,0.00184,2.9596,1.0,0.005445
Ingham,292406,498,0.001707,2.8691,1.0529,0.005155
Ionia,64697,70,0.001097,2.6463,1.0,0.002904
Iosco,25127,24,0.000995,2.5138,1.2632,0.003159
Iron,11066,9,0.000904,2.3419,1.0,0.002116
Isabella,69872,47,0.000687,2.5773,1.0,0.001771
Jackson,158510,226,0.001432,2.6829,1.0,0.003842
Kalamazoo,265066,333,0.00126,2.847,1.125,0.004036
Kalkaska,18038,15,0.000887,2.7743,1.0,0.002461
Kent,656955,842,0.001283,2.7686,1.0,0.003553
Keweenaw,2116,6,0.003308,2.6327,1.0,0.008709
Lake,11853,4,0.000422,2.4462,1.0,0.001032
Lapeer,87607,74,0.000856,2.8171,1.0,0.002412
Leelanau,21761,17,0.000827,2.7867,1.0,0.002305
Lenawee,98451,227,0.002316,2.8425,1.0,0.006583
Livingston,191995,289,0.00151,2.8283,1.0,0.004272
Luce,6229,2,0.000482,2.5075,1.0,0.001208
Mackinac,10799,8,0.000833,2.3466,1.0,0.001956
Macomb,873972,1065,0.00122,2.8906,1.0,0.003526
Manistee,24558,26,0.001099,3.0402,1.2381,0.004138
Marquette,66699,35,0.00054,2.3371,1.0,0.001261
Mason,29144,38,0.001338,2.7714,1.3571,0.005033
Mecosta,43453,40,0.000944,2.7749,1.0526,0.002756
Menominee,22780,16,0.000746,2.6021,1.0,0.001942
Midland,83156,124,0.001503,2.7665,1.0081,0.004192
Missaukee,15118,29,0.001984,3.2104,1.0,0.006371
Monroe,150500,261,0.001741,2.8771,1.0,0.005009
Montcalm,63888,36,0.000579,2.5405,1.0,0.001471
Montmorency,9328,0,0.000107,2.5792,1.0,0.000276
Muskegon,173566,117,0.00068,2.8151,1.0,0.001914
Newaygo,48980,62,0.001286,3.0069,1.0164,0.003931
Oakland,1257584,1519,0.001209,2.77,1.0,0.003348
Oceana,26467,29,0.001133,2.7407,1.0,0.003107
Ogemaw,20997,45,0.002191,2.6083,1.3636,0.007792
Ontonagon,5720,31,0.005594,3.4091,1.1923,0.02274
Osceola,23460,18,0.00081,2.8348,1.0,0.002296
Oscoda,8241,23,0.002912,3.156,1.7692,0.016261
Otsego,24668,16,0.000689,2.4879,2.0,0.003429
Ottawa,291830,418,0.001436,2.7609,1.0,0.003964
Presque Isle,12592,18,0.001509,2.9339,1.0,0.004427
Roscommon,24019,19,0.000833,2.8191,1.0,0.002347
Saginaw,190539,262,0.00138,2.7902,1.0,0.003851
St. Clair,159128,154,0.000974,2.7963,1.0,0.002724
St. Joseph,60964,144,0.002378,2.8882,1.0827,0.007437
Sanilac,41170,69,0.0017,2.7623,1.0,0.004697
Schoolcraft,8094,2,0.000371,2.3289,1.0,0.000863
Shiawassee,68122,79,0.001174,2.9169,1.0,0.003426
Tuscola,52245,66,0.001282,2.9857,1.0476,0.004011
Van Buren,75677,103,0.001374,2.9092,1.0,0.003998
Washtenaw,367601,803,0.002187,2.5894,1.5037,0.008516
Wayne,1749343,1841,0.001053,2.7847,1.0,0.002932
Wexford,33631,68,0.002052,3.0005,1.1724,0.007217
