Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,3017804,11792,0.003908,2.9718,1.0,0.011613
Arkansas,17486,91,0.005261,3.1097,1.0,0.016361
Ashley,19657,60,0.003103,2.9086,1.0,0.009026
Baxter,41932,93,0.002242,2.9257,1.1481,0.00753
Benton,279141,984,0.003529,3.139,1.0,0.011077
Boone,37432,177,0.004755,3.1194,1.1419,0.016939
Bradley,10763,47,0.00446,3.1741,1.2051,0.017059
Calhoun,5189,32,0.00636,3.1815,1.28,0.025898
Carroll,28380,110,0.003911,3.1068,1.5278,0.018564
Chicot,10118,19,0.001977,2.7355,1.0,0.005407
Clark,22320,93,0.004211,2.8924,1.0,0.012181
Clay,14551,39,0.002749,2.7363,1.0,0.007522
Cleburne,24919,72,0.002929,3.1466,1.0,0.009218
Cleveland,7956,58,0.007416,3.2073,1.0357,0.024634
Columbia,23457,84,0.003624,3.0219,1.4,0.01533
Conway,20846,87,0.004221,3.3096,1.0,0.013971
Craighead,110332,255,0.00232,2.9181,1.0,0.006771
Crawford,63257,256,0.004063,2.9216,1.0,0.01187
Crittenden,47955,140,0.00294,3.025,1.0,0.008894
Cross,16419,38,0.002375,2.7109,1.0,0.006439
Dallas,7009,23,0.003424,3.1295,1.0,0.010716
Desha,11361,79,0.007042,3.5124,1.6458,0.040707
Drew,18219,86,0.004775,3.2144,1.303,0.020001
Faulkner,126007,500,0.003976,2.9333,1.0,0.011663
Franklin,17715,70,0.004008,3.0572,1.0,0.012253
Fulton,12477,9,0.000801,2.6267,1.0,0.002105
Garland,99386,409,0.004125,2.9222,1.0,0.012055
Grant,18265,55,0.003066,3.1787,1.0,0.009746
Greene,45325,233,0.005163,3.2095,1.2527,0.020757
Hempstead,21532,66,0.003112,3.0181,1.0,0.009391
Hot Spring,33771,158,0.004708,2.9602,1.0676,0.014879
Howard,13202,58,0.004469,2.9104,1.0943,0.014234
Independence,37825,106,0.002829,2.7465,1.1158,0.008669
Izard,13629,38,0.002862,2.6986,1.0,0.007722
Jackson,16719,54,0.00329,2.8502,2.0,0.018752
Jefferson,66824,318,0.004774,2.9068,1.1439,0.015873
Johnson,26578,119,0.004515,2.9647,1.1782,0.015771
Lafayette,6624,23,0.003623,3.6242,1.0,0.013131
Lawrence,16406,46,0.002865,2.9545,1.0,0.008464
Lee,8857,8,0.001016,2.5716,1.0,0.002613
Lincoln,13024,56,0.004377,3.0277,1.4,0.018551
Little River,12259,41,0.003426,3.0053,1.0,0.010296
Logan,21466,73,0.003447,2.9169,1.0,0.010056
Lonoke,73309,352,0.004815,2.8857,1.0173,0.014136
Madison,16576,70,0.004283,3.2774,1.1667,0.016378
Marion,16694,43,0.002636,3.0454,1.303,0.010459
Miller,43257,141,0.003283,2.854,1.1849,0.011101
Mississippi,40651,225,0.00556,3.4064,1.4151,0.026799
Monroe,6701,62,0.009402,3.4963,1.0877,0.035754
Montgomery,8986,18,0.002114,2.9896,1.0,0.006321
Nevada,8252,30,0.003757,2.8565,1.0,0.010731
Newton,7753,15,0.002064,3.201,1.0,0.006606
Ouachita,23382,117,0.005047,3.2582,1.1584,0.019048
Perry,10455,33,0.003252,3.0557,1.0312,0.010248
Phillips,17782,71,0.004049,2.8777,1.3654,0.01591
Pike,10718,17,0.001679,3.1452,1.0,0.005282
Poinsett,23528,81,0.003485,2.9292,1.0,0.010209
Polk,19964,50,0.002555,2.9556,1.0,0.00755
Pope,64072,221,0.003465,2.7479,1.0,0.009521
Prairie,8062,71,0.008931,3.3843,1.3654,0.041268
Pulaski,391911,1869,0.004771,3.0402,1.0841,0.015726
Randolph,17958,56,0.003174,2.631,1.098,0.00917
St. Francis,24994,56,0.002281,2.7798,1.0,0.00634
Saline,122437,521,0.004263,3.0256,1.1326,0.01461
Scott,10281,40,0.003988,2.9879,1.0,0.011916
Searcy,7881,20,0.002665,3.2268,1.0,0.008598
Sebastian,127827,590,0.004623,2.9719,1.0,0.013741
Sevier,17007,39,0.002352,3.0735,1.0,0.007229
Sharp,17442,37,0.002179,2.77,1.1935,0.007203
Stone,12506,29,0.002399,3.2064,1.3182,0.010139
Union,38682,157,0.004085,2.9454,1.0,0.012031
Van Buren,16545,77,0.004714,3.0501,1.2222,0.017575
Washington,239187,863,0.003612,3.0139,1.0,0.010887
White,78753,328,0.004178,2.8546,1.0547,0.012577
Woodruff,6320,36,0.005854,2.5375,1.125,0.016713
Yell,21341,87,0.004124,2.9607,1.0,0.012209
