Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,8882190,33395,0.00376,2.9739,1.0,0.011182
Atlantic,263670,1183,0.00449,3.2621,1.0,0.014648
Bergen,932202,3219,0.003454,3.0139,1.0,0.010411
Burlington,445349,1447,0.003251,2.8972,1.0,0.00942
Camden,506471,1593,0.003147,2.9163,1.0,0.009179
Cape May,92039,312,0.003401,2.8393,1.0,0.009656
Cumberland,149527,651,0.00436,3.0085,1.0,0.013118
Essex,798975,3219,0.00403,2.9585,1.1359,0.013543
Gloucester,291636,1110,0.00381,3.0213,1.0,0.01151
Hudson,672391,2614,0.003889,3.0915,1.0,0.012023
Hunterdon,124371,294,0.002372,2.8796,1.0,0.00683
Mercer,367430,1065,0.002901,2.9187,1.0,0.008468
Middlesex,825062,3278,0.003974,2.9522,1.0,0.011733
Monmouth,618795,2695,0.004357,3.0101,1.0,0.013115
Morris,491845,2197,0.004469,2.9556,1.1799,0.015585
Ocean,607186,2901,0.004779,3.1442,1.0,0.015028
Passaic,501826,1937,0.003862,3.0454,1.0281,0.012092
Salem,62385,215,0.003462,3.1565,1.0,0.010929
Somerset,328934,896,0.002727,2.8515,1.0,0.007776
Sussex,140488,449,0.003203,2.9104,1.0,0.009322
Union,556341,1820,0.003273,2.9199,1.0,0.009557
Warren,105267,340,0.003239,2.9522,1.0,0.009563
