Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,11689100,30423,0.002603,2.9426,1.0,0.007659
Adams,27698,176,0.00639,3.1663,1.479,0.029925
Allen,102351,285,0.002794,3.4335,1.0,0.009594
Ashland,53484,89,0.001683,3.0785,1.0,0.00518
Ashtabula,97241,158,0.001635,3.3162,1.0,0.005422
Athens,65327,222,0.003414,3.3607,1.2065,0.013841
Auglaize,45656,94,0.002081,3.315,1.0444,0.007204
Belmont,67006,224,0.003358,3.1194,1.0,0.010475
Brown,43432,198,0.004582,3.256,1.125,0.016784
Butler,383134,1202,0.00314,3.4014,1.0,0.01068
Carroll,26914,73,0.002749,4.2986,1.0,0.011819
Champaign,38885,93,0.002417,3.2082,1.0,0.007755
Clark,134083,404,0.003021,3.3467,1.0,0.010109
Clermont,206428,729,0.003536,3.5306,1.0,0.012485
Clinton,41968,158,0.003789,3.247,1.3277,0.016333
Columbiana,101883,209,0.002061,3.084,1.0,0.006357
Coshocton,36600,87,0.002404,3.4755,1.0875,0.009088
Crawford,41494,115,0.002796,2.9808,1.0849,0.009041
Cuyahoga,1235072,2851,0.002309,3.2867,1.0,0.00759
Darke,51113,100,0.001976,3.3983,1.0,0.006715
Defiance,38087,122,0.003229,3.4908,1.0,0.011273
Delaware,209177,580,0.002778,3.0795,1.0,0.008554
Erie,74266,227,0.00307,3.1653,1.0,0.009718
Fairfield,157574,480,0.003053,2.7544,1.0,0.008408
Fayette,28525,75,0.002664,3.2014,1.0,0.00853
Franklin,1316756,2948,0.00224,2.946,1.0,0.006598
Fulton,42126,109,0.002611,3.2224,1.0,0.008414
Gallia,29898,53,0.001806,3.1457,1.0,0.005682
Geauga,93649,297,0.003182,3.6225,1.0532,0.01214
Greene,168937,448,0.002658,3.453,1.0,0.009177
Guernsey,38875,97,0.002521,3.0755,1.0,0.007753
Hamilton,817473,2650,0.003243,3.1295,1.0,0.010149
Hancock,75783,108,0.001438,2.9573,1.0,0.004254
Hardin,31365,117,0.003762,3.1428,1.1143,0.013175
Harrison,15040,15,0.001064,3.1842,1.0,0.003387
Henry,27006,79,0.002962,3.6683,1.0,0.010866
Highland,43161,157,0.003661,3.4955,1.0195,0.013045
Hocking,28264,65,0.002335,2.7888,1.0,0.006512
Holmes,43960,53,0.001228,3.3983,1.0,0.004174
Huron,58266,140,0.00242,3.2552,1.0,0.007877
Jackson,32413,63,0.001975,3.1028,1.0,0.006127
Jefferson,65325,119,0.001837,3.2535,1.0,0.005977
Knox,62322,155,0.002503,3.5121,1.0,0.008791
Lake,230149,617,0.002685,3.1987,1.0,0.008589
Lawrence,59463,220,0.003717,2.9374,1.0,0.010917
Licking,176862,554,0.003138,3.6578,1.0,0.011478
Logan,45672,141,0.003109,3.1667,1.0,0.009846
Lorain,309833,811,0.002621,3.2621,1.0,0.008549
Lucas,428348,1084,0.002533,3.094,1.0,0.007837
Madison,44731,107,0.002414,2.6345,1.0,0.006361
Mahoning,228683,587,0.002571,2.8037,1.0,0.007209
Marion,65093,153,0.002366,3.1842,1.0552,0.007949
Medina,179746,457,0.002548,3.5457,1.0,0.009035
Meigs,22907,88,0.003885,3.6988,1.4194,0.020397
Mercer,41172,78,0.001919,3.4744,1.0,0.006667
Miami,106987,245,0.002299,3.2526,1.0,0.007479
Monroe,13654,52,0.003882,3.3741,1.0,0.013097
Montgomery,531687,1171,0.002204,3.0516,1.0,0.006727
Morgan,14508,59,0.004136,4.3146,1.3721,0.024483
Morrow,35328,63,0.001812,3.1933,1.0,0.005785
Muskingum,86215,343,0.00399,3.3219,1.0088,0.013372
Noble,14424,21,0.001525,2.9824,1.0,0.004549
Ottawa,40525,83,0.002073,2.6172,1.0,0.005425
Paulding,18672,49,0.002678,3.205,1.0,0.008582
Perry,36134,106,0.002961,2.8954,1.0,0.008574
Pickaway,58457,239,0.004106,3.3698,1.0,0.013835
Pike,27772,137,0.004969,3.489,1.0703,0.018556
Portage,162466,449,0.00277,3.435,1.0,0.009514
Preble,40882,86,0.002128,3.0945,1.0,0.006585
Putnam,33861,78,0.002333,3.4988,1.0,0.008163
Richland,121154,329,0.002724,3.1569,1.0,0.008599
Ross,76666,173,0.00227,3.1213,1.0,0.007084
Sandusky,58518,102,0.00176,3.0664,1.0,0.005397
Scioto,75314,135,0.001806,2.9896,1.0,0.005399
Seneca,55178,103,0.001885,3.3455,1.0,0.006306
Shelby,48590,53,0.001111,3.736,1.0,0.004152
Stark,370606,977,0.002639,3.6225,1.0,0.00956
Summit,541013,1291,0.002388,3.4559,1.0,0.008253
Trumbull,197974,353,0.001788,3.0334,1.0,0.005424
Tuscarawas,91987,205,0.002239,3.1131,1.0,0.006972
Union,58988,192,0.003272,3.2483,1.0,0.010628
Van Wert,28275,65,0.002334,3.5338,1.2037,0.009929
Vinton,13085,21,0.001681,2.9425,1.0,0.004947
Warren,234602,788,0.003363,3.3828,1.0,0.011377
Washington,59911,169,0.002838,3.0485,1.0,0.00865
Wayne,115710,259,0.002247,3.3055,1.0,0.007427
Williams,36692,73,0.002017,3.0511,1.0,0.006153
Wood,130817,387,0.002966,3.2339,1.0,0.009592
Wyandot,21772,46,0.002159,3.5013,1.0,0.007558
