Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,220892331,11734,5.3e-05,2.6821,1.0,0.000142
Azad Jammu and Kashmir,4045366,195,4.8e-05,2.6821,1.0,0.00013
Balochistan,12344408,76,6e-06,2.6821,1.0,1.7e-05
Gilgit-Baltistan,1013584,7,8e-06,2.6821,1.0,2.1e-05
Islamabad,2006572,601,0.0003,2.6821,1.0,0.000805
Khyber Pakhtunkhwa,30523371,1679,5.5e-05,2.6821,1.0,0.000148
Punjab,110012442,3503,3.2e-05,2.6821,1.0,8.5e-05
Sindh,47886051,5673,0.000118,2.6821,1.027,0.000326
