Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,1934408,3157,0.001633,2.9574,1.0,0.004828
Adams,31363,57,0.001849,3.3575,1.0,0.006209
Antelope,6298,3,0.000635,2.5857,1.0,0.001642
Arthur,463,1,0.00432,2.9574,1.0,0.012775
Banner,745,1,0.002685,2.9574,1.0,0.007939
Blaine,465,0,0.002151,2.9574,1.0,0.00636
Boone,5192,4,0.000963,2.6215,1.0,0.002525
Box Butte,10783,17,0.001669,2.8979,1.0,0.004837
Boyd,1919,1,0.001042,4.0804,1.0,0.004253
Brown,2955,0,0.000338,3.0402,1.0,0.001029
Buffalo,49659,61,0.001249,3.408,1.0,0.004255
Burt,6459,14,0.002322,3.1485,1.1667,0.008531
Butler,8016,4,0.000624,3.5984,1.0,0.002244
Cass,26248,60,0.002324,3.4164,1.0,0.00794
Cedar,8402,18,0.002261,2.6119,1.0,0.005906
Chase,3924,6,0.001784,3.3863,1.0,0.006041
Cherry,5689,2,0.000527,2.662,1.0,0.001404
Cheyenne,8910,18,0.002132,3.4236,1.0,0.007301
Clay,6203,23,0.003869,3.3753,1.5333,0.020024
Colfax,10709,7,0.000747,3.5224,1.0,0.002631
Cuming,8846,15,0.001809,3.0037,1.0,0.005433
Custer,10777,10,0.001021,3.2513,1.0,0.003319
Dakota,20026,11,0.000599,3.0308,1.0,0.001816
Dawes,8589,19,0.002329,3.2616,1.0,0.007595
Dawson,23595,25,0.001102,3.1527,1.0,0.003474
Deuel,1794,4,0.002787,2.6276,1.3333,0.009764
Dixon,5636,7,0.001419,3.1194,1.0,0.004428
Dodge,36565,110,0.003036,3.3191,1.0476,0.010555
Douglas,571327,1018,0.001784,2.9988,1.0,0.005349
Dundy,1693,13,0.008269,3.8017,1.4444,0.04541
Fillmore,5462,1,0.000366,2.5075,1.0,0.000918
Franklin,2979,5,0.002014,2.786,1.0,0.005611
Frontier,2627,1,0.000761,2.3172,1.0,0.001764
Furnas,4676,28,0.006202,3.3297,1.0,0.02065
Gage,21513,9,0.000465,3.0905,1.0,0.001437
Garden,1837,1,0.001089,2.9574,1.0,0.00322
Garfield,1969,0,0.000508,2.9574,1.0,0.001502
Gosper,1990,0,0.000503,3.3431,1.0,0.00168
Grant,623,3,0.006421,2.9574,1.0,0.018988
Greeley,2356,11,0.005093,3.0402,1.375,0.021292
Hall,61353,110,0.001809,3.5641,1.0,0.006448
Hamilton,9324,20,0.002252,2.8857,1.0,0.006499
Harlan,3380,0,0.000296,2.4652,1.0,0.000729
Hayes,922,0,0.001085,2.9574,1.0,0.003208
Hitchcock,2762,21,0.007965,2.7177,2.0,0.043294
Holt,10067,15,0.001589,2.8237,1.0,0.004488
Hooker,682,0,0.001466,2.9574,1.0,0.004336
Howard,6445,13,0.002172,2.5857,2.0,0.011233
Jefferson,7046,4,0.00071,2.9494,1.0,0.002093
Johnson,5071,6,0.00138,3.539,1.0,0.004885
Kearney,6495,11,0.001848,3.4255,1.0,0.006329
Keith,8034,10,0.001369,2.9994,1.4286,0.005867
Keya Paha,806,1,0.002481,2.9574,1.0,0.007338
Kimball,3632,6,0.001927,4.1318,1.0,0.007963
Knox,8332,4,0.0006,3.371,1.0,0.002023
Lancaster,319090,533,0.001674,2.7977,1.0,0.004682
Lincoln,34914,58,0.00169,3.034,1.0,0.005127
Logan,748,0,0.001337,3.0402,1.0,0.004064
Loup,664,2,0.004518,2.9574,1.0,0.013362
McPherson,494,2,0.006073,2.9574,2.0,0.035919
Madison,35099,27,0.000798,3.1546,1.0,0.002517
Merrick,7755,7,0.001032,2.9602,1.0,0.003054
Morrill,4642,5,0.001293,3.0256,1.0,0.003911
Nance,3519,1,0.000568,2.6215,1.0,0.00149
Nemaha,6972,12,0.001865,3.1987,1.0,0.005964
Nuckolls,4148,10,0.002652,3.1471,1.0,0.008346
Otoe,16012,27,0.001749,3.2629,1.0,0.005706
Pawnee,2613,3,0.001531,3.4711,1.0,0.005314
Perkins,2891,0,0.000346,2.6003,1.0,0.000899
Phelps,9034,19,0.002214,3.2189,1.0,0.007126
Pierce,7148,5,0.000839,3.7039,1.6667,0.005182
Platte,33470,30,0.000926,2.8534,1.0,0.002643
Polk,5213,4,0.000959,3.1704,1.0,0.003041
Red Willow,10724,20,0.001958,3.5721,1.0,0.006995
Richardson,7865,2,0.000381,3.1324,1.0,0.001195
Rock,1357,0,0.000737,2.9574,1.0,0.002179
Saline,14224,11,0.000844,3.2621,1.0,0.002752
Sarpy,187196,345,0.001848,3.2175,1.0,0.005947
Saunders,21578,56,0.002642,3.2149,1.0,0.008492
Scotts Bluff,35618,39,0.001123,3.1783,1.0,0.003569
Seward,17284,12,0.000752,3.3104,1.0,0.00249
Sheridan,5246,11,0.002287,3.4806,1.0,0.007962
Sherman,3001,3,0.001333,3.3431,1.0,0.004456
Sioux,1166,1,0.001715,2.9574,1.0,0.005073
Stanton,5920,-1,0.0,2.9494,1.0,0.0
Thayer,5003,4,0.000999,3.6663,1.0,0.003664
Thomas,722,0,0.001385,2.9574,1.0,0.004096
Thurston,7224,17,0.002492,2.6546,1.0,0.006614
Valley,4158,2,0.000722,2.4161,1.0,0.001743
Washington,20729,56,0.00275,3.651,1.0,0.010039
Wayne,9385,5,0.000639,2.8546,1.0,0.001825
Webster,3487,5,0.001721,3.8643,1.0,0.006649
Wheeler,783,1,0.002554,2.9574,1.0,0.007554
York,13679,10,0.000804,3.0345,1.0,0.00244
