Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,6732219,15163,0.002252,3.0053,1.0,0.006769
Adams,35777,60,0.001705,2.7443,1.0,0.004679
Allen,379299,796,0.002101,3.2068,1.0,0.006738
Bartholomew,83779,211,0.00253,2.9797,1.0,0.00754
Benton,8748,19,0.002286,3.047,1.0,0.006966
Blackford,11758,22,0.001956,3.0123,1.0,0.005892
Boone,67843,167,0.002476,2.9252,1.0,0.007244
Brown,15092,23,0.00159,2.6074,1.0,0.004146
Carroll,20257,66,0.003307,3.2608,1.0,0.010785
Cass,37689,170,0.004537,3.2224,1.2319,0.018011
Clark,118302,395,0.003347,3.175,1.0,0.010628
Clay,26225,50,0.001945,3.0428,1.0,0.005917
Clinton,32399,72,0.002253,3.1504,1.0,0.007098
Crawford,10577,30,0.002931,3.1347,1.0,0.009188
Daviess,33351,48,0.001469,2.6986,1.0,0.003965
Dearborn,49458,194,0.003943,3.2465,1.0,0.0128
Decatur,26559,56,0.002146,2.7895,1.0,0.005987
DeKalb,43475,98,0.002277,3.1676,1.0,0.007213
Delaware,114135,259,0.002278,3.0334,1.0,0.00691
Dubois,42736,87,0.002059,3.0058,1.0,0.00619
Elkhart,206341,237,0.001153,2.9379,1.0,0.003389
Fayette,23102,76,0.003333,3.3702,1.2258,0.013769
Floyd,78522,192,0.002458,2.9596,1.0,0.007274
Fountain,16346,56,0.003487,3.181,1.2444,0.013804
Franklin,22758,45,0.002021,3.2715,1.0,0.006612
Fulton,19974,42,0.002153,3.0134,1.0,0.006487
Gibson,33659,124,0.003714,3.2113,1.0,0.011926
Grant,65769,131,0.002007,3.1602,1.0,0.006343
Greene,31922,63,0.002005,3.1179,1.0,0.006251
Hamilton,338011,739,0.002189,3.0197,1.0,0.006611
Hancock,78168,214,0.00275,3.1121,1.0,0.00856
Harrison,40515,150,0.003727,3.4784,1.0,0.012964
Hendricks,170311,458,0.002695,3.0629,1.0,0.008255
Henry,47972,102,0.002147,3.1974,1.0,0.006865
Howard,82544,307,0.003731,2.924,1.0,0.01091
Huntington,36520,128,0.003532,3.2997,1.3061,0.015223
Jackson,44231,117,0.002668,3.7206,1.0086,0.010011
Jasper,33562,74,0.002235,3.1625,1.0137,0.007164
Jay,20436,38,0.001908,3.1527,1.0,0.006017
Jefferson,32308,92,0.002879,2.9211,1.0,0.008408
Jennings,27735,47,0.001731,2.7304,1.0,0.004725
Johnson,158167,407,0.00258,3.0613,1.0,0.007897
Knox,36594,70,0.00194,2.9539,1.0,0.005731
Kosciusko,79456,114,0.001447,3.0593,1.0,0.004428
LaGrange,39614,50,0.001287,3.2875,1.0,0.004232
Lake,485493,874,0.001802,3.3483,1.0,0.006035
LaPorte,109888,237,0.002166,3.0171,1.0,0.006535
Lawrence,45370,83,0.001851,3.1126,1.0,0.005763
Madison,129569,265,0.002053,3.0775,1.0,0.006318
Marion,964582,1971,0.002044,2.9228,1.0,0.005975
Marshall,46258,116,0.002529,3.0219,1.0,0.007643
Martin,10255,20,0.002048,3.2638,1.0,0.006683
Miami,35516,101,0.002872,2.983,1.0,0.008567
Monroe,148431,252,0.001704,2.5921,1.0,0.004418
Montgomery,38338,122,0.003208,3.1141,1.1091,0.011081
Morgan,70489,202,0.00288,3.1892,1.0,0.009185
Newton,13984,29,0.002145,3.4504,1.2609,0.009333
Noble,47744,93,0.001969,3.1043,1.0,0.006112
Ohio,5875,11,0.002043,3.3394,1.0,0.006821
Orange,19646,53,0.002749,2.8084,1.0,0.007719
Owen,20799,65,0.003173,2.6693,1.0,0.00847
Parke,16937,28,0.001712,2.973,1.5556,0.007919
Perry,19169,87,0.004591,3.1602,1.2083,0.01753
Pike,12389,47,0.003874,3.1189,1.0682,0.012908
Porter,170389,277,0.001632,3.0005,1.0,0.004895
Posey,25427,59,0.00236,3.2211,1.0,0.007601
Pulaski,12353,23,0.001943,3.5544,1.0,0.006906
Putnam,37576,65,0.001756,3.0695,1.0,0.005391
Randolph,24665,31,0.001297,2.9528,1.0,0.003831
Ripley,28324,89,0.003178,3.1906,1.3088,0.013269
Rush,16581,31,0.00193,3.1611,1.0,0.006101
St. Joseph,271826,473,0.001744,2.8457,1.0,0.004962
Scott,23873,71,0.003016,3.5355,1.0,0.010663
Shelby,44729,141,0.003175,3.0123,1.0,0.009563
Spencer,20277,83,0.004143,3.3765,1.0,0.013987
Starke,22995,41,0.001826,3.2193,1.0,0.00588
Steuben,34594,50,0.001474,2.908,1.0,0.004287
Sullivan,20669,34,0.001693,3.2356,1.0,0.005479
Switzerland,10751,32,0.003069,3.2417,1.0,0.00995
Tippecanoe,195732,458,0.002345,3.1324,1.0,0.007346
Tipton,15148,46,0.003103,3.0266,1.0,0.009391
Union,7054,7,0.001134,3.0387,1.0,0.003446
Vanderburgh,181451,570,0.003147,3.256,1.0,0.010246
Vermillion,15498,40,0.002646,2.9585,1.0,0.007827
Vigo,107038,245,0.002298,2.7949,1.0,0.006423
Wabash,30996,73,0.002387,3.0292,1.0,0.007232
Warren,8265,20,0.002541,3.5053,1.0,0.008906
Warrick,62998,211,0.003365,3.2422,1.0,0.010911
Washington,28036,76,0.002746,2.9758,1.0,0.008173
Wayne,65884,149,0.002277,2.7587,1.0,0.006281
Wells,28296,39,0.001414,2.9092,1.0,0.004113
White,24102,59,0.002489,3.1879,1.0,0.007936
Whitley,33964,118,0.003504,3.5242,1.0,0.012348
