Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,10488084,37857,0.00361,3.0019,1.0,0.010836
Alamance,169509,534,0.003156,3.0366,1.0,0.009584
Alexander,37497,131,0.00352,3.0557,1.1909,0.012811
Alleghany,11137,21,0.001975,2.8802,1.0,0.00569
Anson,24446,104,0.004295,3.1992,1.0,0.013741
Ashe,27203,48,0.001801,2.8489,1.0,0.005132
Avery,17557,44,0.002563,3.085,1.0476,0.008284
Beaufort,46994,155,0.00332,3.1136,1.0,0.010336
Bertie,18947,51,0.002744,3.1546,1.0,0.008658
Bladen,32722,152,0.004676,3.1824,1.0,0.01488
Brunswick,142820,421,0.002955,3.0537,1.0,0.009023
Buncombe,261191,665,0.00255,2.8578,1.0,0.007287
Burke,90485,355,0.003934,3.0371,1.0,0.011949
Cabarrus,216453,722,0.00334,3.116,1.0,0.010408
Caldwell,82178,248,0.00303,2.9901,1.0,0.00906
Camden,10867,30,0.002853,3.6837,1.1538,0.012125
Carteret,69473,160,0.002317,2.9686,1.0,0.00688
Caswell,22604,113,0.005043,3.2478,1.0,0.01638
Catawba,159551,768,0.00482,3.1695,1.0,0.015276
Chatham,74470,182,0.002457,2.8559,1.0,0.007018
Cherokee,28612,100,0.00353,3.1583,1.0,0.011149
Chowan,13943,72,0.005236,3.2863,1.0,0.017206
Clay,11231,24,0.002226,3.1723,1.0,0.007061
Cleveland,97947,358,0.003665,3.0925,1.0,0.011335
Columbus,55508,294,0.005315,3.1314,1.0,0.016642
Craven,102139,407,0.003995,3.1569,1.0099,0.012736
Cumberland,335509,1322,0.003943,3.4018,1.0,0.013414
Currituck,27763,83,0.003026,3.2951,1.0,0.00997
Dare,37009,89,0.002432,3.0171,1.0,0.007337
Davidson,167609,688,0.004111,3.2068,1.0,0.013183
Davie,42846,171,0.004014,3.0979,1.0,0.012436
Duplin,58741,179,0.003064,2.9511,1.0,0.009043
Durham,321488,860,0.002678,2.9304,1.0,0.007848
Edgecombe,51472,146,0.002856,3.0361,1.0657,0.00924
Forsyth,382295,1227,0.003212,3.0058,1.0,0.009655
Franklin,69685,218,0.003143,2.9819,1.0,0.009371
Gaston,224529,846,0.003772,3.1266,1.0,0.011795
Gates,11562,42,0.003719,3.3406,1.0,0.012424
Graham,8441,19,0.002369,2.6074,1.1875,0.007336
Granville,60443,163,0.002713,2.8765,1.0,0.007805
Greene,21069,90,0.004319,3.1874,1.0,0.013767
Guilford,537174,1833,0.003414,3.0224,1.0,0.010319
Halifax,50010,283,0.005679,3.2387,1.0,0.018392
Harnett,135976,417,0.003074,3.1438,1.0,0.009664
Haywood,62317,194,0.003129,3.1228,1.0,0.009772
Henderson,117417,406,0.003466,2.9736,1.0,0.010307
Hertford,23677,65,0.002788,3.0026,1.0,0.00837
Hoke,55234,166,0.003024,3.2404,1.0,0.009797
Hyde,4937,14,0.003038,3.0618,1.0,0.009303
Iredell,181806,837,0.004609,2.9939,1.0,0.0138
Jackson,43938,106,0.002435,3.2295,1.0,0.007865
Johnston,209339,623,0.002981,3.0171,1.0,0.008993
Jones,9419,40,0.004353,3.0516,1.0,0.013283
Lee,61779,215,0.003496,3.1541,1.0,0.011028
Lenoir,55949,209,0.003753,2.9863,1.0,0.011209
Lincoln,86111,441,0.005133,3.2698,1.0,0.016783
McDowell,45756,173,0.003803,3.0213,1.0,0.011489
Macon,35858,129,0.003625,3.2343,1.0,0.011726
Madison,21755,66,0.00308,3.0547,1.0,0.009408
Martin,22440,68,0.003075,3.0444,1.0,0.009361
Mecklenburg,1110356,4288,0.003863,3.1043,1.0,0.011991
Mitchell,14964,130,0.008754,2.9613,2.0,0.051848
Montgomery,27173,125,0.004637,3.1653,1.0,0.014677
Moore,100880,390,0.003876,3.0674,1.0,0.011889
Nash,94298,520,0.005525,3.2736,1.0678,0.019312
New Hanover,234473,914,0.003902,2.9857,1.0,0.011651
Northampton,19483,80,0.004157,3.0715,1.0,0.01277
Onslow,197938,950,0.004805,3.2255,1.1124,0.017239
Orange,148476,403,0.002721,2.5324,1.1818,0.008144
Pamlico,12726,48,0.00385,3.0785,1.0,0.011854
Pasquotank,39824,132,0.00334,3.2118,1.0,0.010726
Pender,63060,145,0.002315,3.1897,1.0,0.007385
Perquimans,13463,46,0.003491,3.4206,1.2105,0.014455
Person,39490,124,0.003165,2.9868,1.0,0.009454
