Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,2096829,4854,0.002315,2.7623,1.0,0.006396
Bernalillo,679121,1542,0.002272,2.7443,1.1322,0.007059
Catron,3527,1,0.000567,3.3431,1.0,0.001896
Chaves,64615,179,0.002786,2.8496,1.0,0.007938
Cibola,26675,36,0.001387,2.5669,1.0,0.00356
Colfax,11941,15,0.00134,2.5263,1.0,0.003385
Curry,48954,73,0.001512,2.8924,1.0,0.004372
De Baca,1748,4,0.00286,2.9494,2.0,0.016873
Dona Ana,218195,532,0.002443,2.7311,1.0,0.006672
Eddy,58460,209,0.003592,3.0334,1.0,0.010897
Grant,26998,50,0.001889,2.6612,1.0,0.005027
Guadalupe,4300,10,0.002558,2.7139,1.4286,0.009918
Harding,625,0,0.0016,2.7623,1.0,0.00442
Hidalgo,4198,15,0.003811,3.8185,1.0,0.014553
Lea,71070,135,0.001914,2.8572,1.0,0.005467
Lincoln,19572,68,0.003525,3.4526,1.0,0.012172
Los Alamos,19369,23,0.001239,2.6293,1.0,0.003258
Luna,23709,100,0.00426,2.9863,1.0,0.012722
McKinley,71367,277,0.003895,3.0765,1.0,0.011984
Mora,4521,5,0.001327,2.5563,2.0,0.006785
Otero,67490,125,0.001867,3.0213,1.0,0.005641
Quay,8253,3,0.000485,2.6215,1.0,0.001271
Rio Arriba,38921,124,0.003212,3.095,1.0,0.00994
Roosevelt,18500,25,0.001405,2.6644,1.0,0.003745
Sandoval,146748,327,0.002235,2.7169,1.1276,0.006847
San Juan,123958,341,0.002759,2.9511,1.0,0.008142
San Miguel,27277,45,0.001686,2.5128,1.0,0.004238
Santa Fe,150358,303,0.002022,2.8578,1.0,0.005778
Sierra,10791,12,0.001205,2.2887,1.2,0.003309
Socorro,16637,37,0.002284,2.874,1.0,0.006564
Taos,32723,32,0.001008,2.9901,1.0,0.003015
Torrance,15461,21,0.001423,2.9505,1.1053,0.00464
Union,4059,1,0.000493,2.3051,1.0,0.001136
Valencia,76688,121,0.001591,2.8237,1.0,0.004492
