Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,5822434,10444,0.001794,2.7601,1.0,0.004951
Adams,20220,40,0.002028,3.0531,1.0,0.006191
Ashland,15562,21,0.001414,2.8678,1.0,0.004054
Barron,45244,100,0.002232,2.8888,1.0,0.006449
Bayfield,15036,11,0.000798,2.6604,1.0,0.002123
Brown,264542,507,0.00192,2.8302,1.0,0.005435
Buffalo,13031,32,0.002532,3.0155,1.0,0.007636
Burnett,15414,27,0.001817,2.9602,1.0,0.005377
Calumet,50089,143,0.002875,3.0654,1.1721,0.01033
Chippewa,64658,142,0.002212,2.9483,1.0,0.00652
Clark,34774,58,0.001697,3.1518,1.0,0.005348
Columbia,57532,99,0.001738,2.7915,1.0,0.004852
Crawford,16131,11,0.000744,2.5273,1.0,0.00188
Dane,546695,748,0.00137,2.5107,1.0,0.00344
Dodge,87839,133,0.001526,2.8104,1.0,0.004287
Door,27668,30,0.00112,2.603,1.0,0.002916
Douglas,43150,75,0.001761,3.0679,1.0,0.005404
Dunn,45368,95,0.002116,2.8759,1.0,0.006085
Eau Claire,104646,224,0.00215,2.9824,1.0,0.006413
Florence,4295,9,0.002328,2.8171,2.0,0.013118
Fond du Lac,103403,157,0.001528,2.8869,1.0,0.004411
Forest,9004,14,0.001666,2.8894,2.0,0.009627
Grant,51439,116,0.002275,2.7707,1.0,0.006302
Green,36960,121,0.003301,3.092,1.407,0.01436
Green Lake,18913,29,0.001586,2.4956,1.0,0.003959
Iowa,23678,26,0.00114,2.6345,1.7333,0.005207
Iron,5687,7,0.001407,2.6521,1.0,0.003731
Jackson,20643,19,0.000969,2.8341,1.0,0.002746
Jefferson,84769,174,0.002064,2.9813,1.0,0.006155
Juneau,26687,37,0.001424,3.1009,1.0,0.004415
Kenosha,169561,322,0.001905,2.8784,1.0,0.005483
Kewaunee,20434,52,0.002594,3.076,1.0,0.007978
La Crosse,118016,375,0.003186,2.7544,1.1029,0.009679
Lafayette,16665,29,0.0018,2.9086,1.0,0.005236
Langlade,19189,15,0.000834,2.6562,1.0714,0.002373
Lincoln,27593,43,0.001595,2.9425,1.0,0.004692
Manitowoc,78981,152,0.001937,2.8521,1.0201,0.005636
Marathon,135692,203,0.001503,2.995,1.0,0.004503
Marinette,40350,46,0.001165,2.7001,1.0,0.003145
Marquette,15574,30,0.00199,2.6198,1.2,0.006258
Menominee,4556,1,0.000439,2.259,1.0,0.000992
Milwaukee,945726,1678,0.001775,2.874,1.0,0.005102
Monroe,46253,88,0.001924,2.8888,1.0,0.005559
Oconto,37930,57,0.001529,2.7078,1.0,0.004141
Oneida,35595,107,0.003034,3.1676,1.3718,0.013184
Outagamie,187885,483,0.002576,2.8709,1.0,0.007396
Ozaukee,89221,155,0.001748,2.7501,1.0,0.004808
Pepin,7287,6,0.000961,2.9647,1.0,0.002848
Pierce,42754,91,0.002152,2.9092,1.0,0.00626
Polk,43783,106,0.002444,2.9652,1.0,0.007247
Portage,70772,140,0.001992,3.0101,1.0687,0.006409
Price,13351,27,0.002097,2.8534,1.0,0.005984
Racine,196311,320,0.001635,2.8425,1.0,0.004648
Richland,17252,21,0.001275,2.6302,1.0,0.003354
Rock,163354,280,0.00172,2.8827,1.0,0.004959
Rusk,14178,13,0.000987,2.7693,1.0,0.002735
St. Croix,90687,186,0.002062,2.8399,1.0,0.005856
Sauk,64442,87,0.001366,2.7665,1.0,0.003778
Sawyer,16558,28,0.001751,2.8496,1.0,0.004991
Shawano,40899,47,0.001174,2.5611,1.0,0.003006
Sheboygan,115340,148,0.001292,2.7587,1.0,0.003564
Taylor,20343,24,0.001229,2.9556,1.0,0.003632
Trempealeau,29649,34,0.00118,2.6717,1.0,0.003154
Vernon,30822,32,0.001071,2.5435,1.0,0.002723
Vilas,22195,108,0.004911,3.2909,1.8,0.029091
Walworth,103868,165,0.001598,2.9573,1.0,0.004726
Washburn,15720,22,0.001463,3.1271,1.0,0.004575
Washington,136034,238,0.001757,2.8289,1.0,0.00497
Waukesha,404198,694,0.001719,2.9033,1.0,0.004992
Waupaca,50990,82,0.001628,2.6789,1.0,0.004361
Waushara,24443,34,0.001432,2.5273,1.0,0.003619
Winnebago,171907,304,0.001774,2.6916,1.0,0.004775
Wood,72999,166,0.002288,3.0825,1.071,0.007552
