Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,3193694,2635,0.000825,2.9346,1.0,0.002422
Adjuntas,17363,6,0.000403,2.9977,1.2,0.00145
Aguada,36694,26,0.000736,2.9346,1.0,0.002159
Aguadilla,50265,16,0.000338,2.8948,1.0,0.000979
Aguas Buenas,24814,26,0.001088,2.9346,1.0,0.003193
Aibonito,22108,34,0.001583,2.9346,1.2143,0.005641
Anasco,26161,19,0.000764,2.9346,1.1875,0.002664
Arecibo,81966,49,0.00061,3.0139,1.0,0.001838
Arroyo,17238,6,0.000406,2.9346,1.0,0.001192
Barceloneta,23727,18,0.000801,3.076,1.0,0.002463
Barranquitas,27725,39,0.001443,2.9346,1.0,0.004234
Bayamon,169269,245,0.001453,2.7282,1.0,0.003965
Cabo Rojo,47515,19,0.000421,2.9868,1.0,0.001257
Caguas,124606,112,0.000907,3.1996,1.0,0.002902
Camuy,30504,26,0.000885,3.071,1.4444,0.003926
Canovanas,44674,29,0.000672,3.0139,1.0,0.002024
Carolina,146984,141,0.000966,2.5304,1.0,0.002445
Catano,23121,17,0.000779,3.1107,1.0,0.002422
Cayey,42409,25,0.000613,2.9346,1.0,0.001799
Ceiba,10904,8,0.000825,2.9346,1.0,0.002422
Ciales,15808,28,0.001835,2.9346,1.0,0.005384
Cidra,38307,24,0.000653,2.9346,1.0,0.001915
Coamo,38336,15,0.000417,2.9346,1.0,0.001225
Comerio,18648,4,0.000268,2.9346,1.0,0.000787
Corozal,32293,10,0.000341,2.9346,1.0,0.001
Culebra,1714,0,0.000583,2.9346,1.0,0.001712
Dorado,36141,37,0.001051,2.8703,1.0,0.003018
Fajardo,29454,19,0.000679,2.9346,1.0,0.001993
Florida,11317,7,0.000707,2.9346,2.0,0.004149
Guanica,15383,2,0.000195,2.9346,2.0,0.001145
Guayama,39465,13,0.000355,3.1996,1.0,0.001135
Guayanilla,17623,11,0.000681,2.9346,1.0,0.001998
Guaynabo,83728,111,0.001338,3.1107,1.0,0.004161
Gurabo,47093,28,0.000616,2.9346,1.0,0.001807
Hatillo,39218,19,0.00051,2.8191,1.0,0.001438
Hormigueros,15518,9,0.000644,2.9346,1.0,0.001891
Humacao,50653,43,0.000869,3.1058,1.0,0.002698
Isabela,40423,32,0.000816,2.9977,1.0,0.002447
Jayuya,13891,7,0.000576,2.9346,2.0,0.00338
Juana Diaz,44679,29,0.000671,2.6741,1.0357,0.00186
Juncos,38155,42,0.001127,2.9346,1.0,0.003307
Lajas,22010,9,0.000454,2.9346,1.0,0.001333
Lares,24276,14,0.000618,2.9346,1.2727,0.002308
Las Marias,7927,4,0.000631,2.9346,1.0,0.001851
Las Piedras,37007,51,0.001405,2.9346,1.1591,0.00478
Loiza,24553,29,0.001222,2.9346,1.0,0.003586
Luquillo,17665,29,0.001698,3.0608,2.0,0.010396
Manati,37287,22,0.000617,3.186,1.0,0.001965
Maricao,5430,5,0.001105,2.9346,1.25,0.004053
Maunabo,10321,6,0.000678,2.9346,1.5,0.002986
Mayaguez,71530,63,0.000895,2.9703,1.0,0.002658
Moca,34891,37,0.001089,2.9346,1.0,0.003196
Morovis,30335,29,0.000989,2.9346,1.0,0.002902
Naguabo,25761,11,0.000466,2.9346,1.0,0.001367
Naranjito,27349,22,0.000841,2.9346,1.0,0.002468
Orocovis,20220,27,0.001385,2.9346,1.4211,0.005775
Patillas,16211,1,0.000123,2.9346,1.0,0.000362
Penuelas,19249,25,0.001351,2.9346,1.1905,0.004719
Ponce,131881,106,0.000811,3.38,1.0,0.002742
Quebradillas,22918,22,0.001004,2.9703,1.0,0.002981
Rincon,13656,13,0.001025,2.9346,1.8571,0.005587
Rio Grande,48025,31,0.000666,3.222,1.0,0.002147
Sabana Grande,21712,8,0.000415,2.9346,1.0,0.001216
Salinas,27128,14,0.000553,3.2131,1.4,0.002487
San German,30227,18,0.000629,2.9346,1.0,0.001845
San Juan,318441,248,0.000782,2.6327,1.0,0.002059
San Lorenzo,35989,19,0.000556,2.9346,1.0556,0.001721
San Sebastian,35528,24,0.000704,2.6978,1.0,0.001898
Santa Isabel,21209,10,0.000519,3.222,1.0,0.001671
Toa Alta,72025,45,0.000639,2.6741,1.0,0.001708
Toa Baja,74271,64,0.000875,2.2942,1.0,0.002008
Trujillo Alto,63674,43,0.000691,2.69,1.0,0.001859
Utuado,27395,16,0.000621,2.9346,1.1429,0.002081
Vega Alta,36061,28,0.000804,2.9346,1.0,0.00236
Vega Baja,50023,47,0.00096,2.8948,1.0,0.002778
Vieques,8386,1,0.000238,2.9346,1.0,0.0007
Villalba,21372,23,0.001123,2.9868,1.0,0.003354
Yabucoa,32282,20,0.000651,2.9346,1.0526,0.002009
Yauco,33575,18,0.000566,2.9346,1.0,0.001661
