Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,3565287,10322,0.002895,2.7897,1.0,0.008077
Fairfield,943332,2640,0.0028,2.7407,1.0,0.007673
Hartford,891720,2659,0.002983,2.8309,1.0,0.008445
Litchfield,180333,441,0.002451,2.7949,1.0,0.00685
Middlesex,162436,471,0.002906,2.707,1.0,0.007866
New Haven,854757,2448,0.002865,2.7494,1.0,0.007877
New London,265206,933,0.003522,2.8374,1.0,0.009993
Tolland,150721,349,0.002322,2.7888,1.0,0.006476
Windham,116782,441,0.003785,2.8808,1.0,0.010903
