Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,12801989,37868,0.002958,2.9647,1.009,0.008848
Adams,103009,297,0.002893,3.2189,1.0,0.009312
Allegheny,1216045,2108,0.001734,2.8296,1.0,0.004907
Armstrong,64735,133,0.00207,2.9379,1.0,0.006081
Beaver,163929,370,0.002263,2.8716,1.0,0.006499
Bedford,47888,120,0.002527,2.8084,1.165,0.008267
Berks,421164,2483,0.005898,3.0407,1.6509,0.029608
Blair,121829,249,0.002052,2.9292,1.0,0.006011
Bradford,60323,140,0.002337,3.0428,1.0,0.007112
Bucks,628270,2143,0.003413,3.0413,1.2518,0.012991
Butler,187853,446,0.00238,2.8393,1.0,0.006756
Cambria,130192,252,0.001943,2.8031,1.0,0.005447
Cameron,4447,14,0.003373,3.1906,1.0,0.010762
Carbon,64182,253,0.003957,3.2095,1.0,0.012702
Centre,162385,680,0.004194,3.085,1.619,0.020947
Chester,524989,892,0.001701,2.8882,1.0,0.004913
Clarion,38438,78,0.002055,3.1324,1.1642,0.007495
Clearfield,79255,256,0.003243,3.0181,1.0894,0.010662
Clinton,38632,69,0.001812,3.2348,1.0,0.005861
Columbia,64964,245,0.003787,3.2706,1.4497,0.017954
Crawford,84629,193,0.002292,3.438,1.1768,0.009275
Cumberland,253370,1272,0.005024,2.8666,2.0,0.028805
Dauphin,278299,1286,0.004625,3.1014,1.6403,0.023526
Delaware,566747,1395,0.002463,2.9175,1.0,0.007186
Elk,29910,81,0.002742,2.5967,1.0,0.007119
Erie,269728,723,0.002684,3.0495,1.1422,0.009349
Fayette,129274,259,0.002011,2.9879,1.0,0.006009
Forest,7247,84,0.011729,3.2569,1.0,0.0382
Franklin,155027,382,0.002471,3.0664,1.0,0.007576
Fulton,14530,54,0.003785,3.2837,1.0,0.01243
Greene,36233,101,0.002815,3.0603,1.0,0.008615
Huntingdon,45144,157,0.0035,2.8024,1.2661,0.012418
Indiana,84073,97,0.001166,2.8322,1.0,0.003301
Jefferson,43425,112,0.002602,2.9967,1.0,0.007798
Juniata,24763,45,0.001858,3.1107,1.0,0.005778
Lackawanna,209674,516,0.002466,2.9051,1.0,0.007163
Lancaster,545724,2577,0.004724,3.1851,1.3766,0.020713
Lawrence,85512,164,0.00193,2.9747,1.0,0.00574
Lebanon,141793,451,0.003188,3.1102,1.0,0.009914
Lehigh,369318,1374,0.003723,3.0974,1.037,0.011958
Luzerne,317417,1225,0.003862,3.1141,1.2721,0.0153
Lycoming,113299,317,0.002807,3.1523,1.0,0.008848
McKean,40625,178,0.004406,2.9545,1.0,0.013018
Mercer,109424,210,0.001928,2.9316,1.0,0.005653
Mifflin,46138,158,0.003446,3.1956,1.1791,0.012985
Monroe,170271,448,0.002637,3.1252,1.0,0.008241
Montgomery,830915,2695,0.003245,2.9234,1.2368,0.011731
Montour,18230,82,0.004553,3.1314,1.3016,0.018557
Northampton,305285,1559,0.00511,3.0674,1.1901,0.018654
Northumberland,90843,368,0.004062,3.2064,1.1152,0.014524
Perry,46272,247,0.00536,3.2046,2.0,0.034351
Philadelphia,1584064,3095,0.001954,2.838,1.0,0.005547
Pike,55809,122,0.002204,3.1466,1.0,0.006935
Potter,16526,25,0.001573,3.2431,1.0,0.005102
Schuylkill,141359,458,0.003247,3.2091,1.0,0.01042
Snyder,40372,127,0.003171,3.2171,1.1239,0.011464
Somerset,73447,162,0.002219,2.9211,1.0,0.006483
Sullivan,6066,25,0.004286,3.1769,1.0,0.013617
Susquehanna,40328,87,0.002182,3.1457,1.0,0.006864
Tioga,40591,54,0.001355,2.9483,1.0,0.003995
Union,44923,179,0.004007,2.9868,1.0,0.011968
Venango,50668,91,0.001816,3.0603,1.0,0.005557
Warren,39191,75,0.001939,2.9275,1.0,0.005677
Washington,206865,506,0.002451,2.9505,1.0,0.007231
Wayne,51361,147,0.002882,2.9483,1.2149,0.010321
Westmoreland,348899,591,0.001697,2.9252,1.0,0.004963
Wyoming,26794,47,0.001791,2.9327,1.093,0.005743
York,449058,2039,0.004543,3.1028,1.3257,0.018687
