Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,731545,1060,0.00145,2.5355,1.0,0.003677
Aleutians East,3337,31,0.009589,3.0075,1.0,0.02884
Aleutians West,5634,47,0.00852,2.9719,1.9583,0.049585
Anchorage,288000,364,0.001267,2.4912,1.0,0.003157
Bethel,18386,154,0.00843,3.0984,1.0,0.026121
Bristol Bay,836,0,0.001196,2.7756,1.0,0.00332
Denali,2097,1,0.000954,2.3289,1.0,0.002221
Dillingham,4916,5,0.001221,2.3751,1.0,0.002899
Fairbanks North Star,96849,82,0.000857,2.5764,1.0,0.002208
Haines,2530,2,0.001186,2.5355,1.0,0.003006
Juneau,31974,41,0.001314,2.5149,1.4138,0.00467
Kenai Peninsula,58708,28,0.000494,2.3588,1.0,0.001165
Ketchikan Gateway,13901,7,0.000575,2.7244,1.0,0.001568
Kodiak Island,12998,15,0.001231,2.5985,1.0,0.003199
Kusilvak,8314,41,0.005052,3.083,1.0,0.015575
Bristol Bay plus Lake and Peninsula,2428,0,0.000412,2.5355,1.0,0.001044
Matanuska-Susitna,108317,149,0.001385,2.6612,1.0,0.003685
Nome,10004,5,0.0006,2.1612,1.0,0.001296
North Slope,9832,6,0.000712,2.2772,1.0,0.001621
Northwest Arctic,7621,6,0.000919,2.3558,1.0,0.002164
Petersburg,3266,0,0.000306,2.3934,1.0,0.000733
Prince of Wales-Hyder,6203,1,0.000322,2.5355,1.0,0.000818
Sitka,8493,3,0.000471,2.2372,1.0,0.001054
Skagway,1183,0,0.000845,2.5355,1.0,0.002143
Southeast Fairbanks,6893,13,0.002031,2.8476,1.4444,0.008354
Valdez-Cordova,9202,35,0.003912,2.4522,2.0,0.019187
Wrangell,2502,1,0.000799,2.5355,1.0,0.002027
Yakutat,604,2,0.004967,2.5355,1.0,0.012593
Yukon-Koyukuk,5230,8,0.001721,2.5355,1.0,0.004363
