Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,3155070,6278,0.00199,2.9999,1.0,0.00597
Adair,7152,10,0.001538,2.5582,1.0,0.003935
Adams,3602,7,0.002221,2.983,1.0,0.006625
Allamakee,13687,14,0.001096,2.9568,1.0,0.00324
Appanoose,12426,17,0.001449,3.1126,1.0,0.004509
Audubon,5496,8,0.001638,3.2749,1.0,0.005363
Benton,25645,42,0.001677,3.1865,1.0,0.005343
Black Hawk,131228,264,0.002019,2.995,1.0,0.006048
Boone,26234,53,0.002058,2.8064,1.0,0.005777
Bremer,25062,41,0.001676,2.924,1.0,0.0049
Buchanan,21175,38,0.001842,2.9483,1.1875,0.006448
Buena Vista,19620,36,0.001886,3.0245,1.0,0.005704
Butler,14439,15,0.001108,2.9222,1.0,0.003238
Calhoun,9668,14,0.001552,2.6128,1.0,0.004054
Carroll,20165,7,0.000397,2.4923,1.0,0.000989
Cass,12836,29,0.002337,3.072,1.16,0.008329
Cedar,18627,33,0.001825,2.9697,1.0,0.005421
Cerro Gordo,42450,75,0.00179,2.7237,1.0,0.004876
Cherokee,11235,6,0.000623,3.3467,1.0,0.002085
Chickasaw,11933,12,0.001089,2.6446,1.0,0.002881
Clarke,9395,36,0.003938,2.77,1.3333,0.014546
Clay,16016,31,0.001998,3.1471,1.0,0.006288
Clayton,17549,20,0.001197,2.6916,1.0,0.003221
Clinton,46429,124,0.002692,3.1499,1.2784,0.010841
Crawford,16820,36,0.0022,2.9708,1.0,0.006535
Dallas,93453,267,0.002868,3.0875,1.0389,0.009199
Davis,9000,11,0.001333,3.1819,1.0,0.004243
Decatur,7870,15,0.002033,2.4148,1.0,0.004909
Delaware,17011,28,0.001705,2.9414,1.0,0.005014
Des Moines,38967,88,0.002284,2.9736,1.0,0.006792
Dickinson,17258,20,0.001217,3.0277,1.0,0.003684
Dubuque,97311,186,0.001922,3.1165,1.0,0.005989
Emmet,9208,2,0.000326,2.2548,1.0,0.000735
Fayette,19650,33,0.00173,3.1644,1.0,0.005475
Floyd,15642,16,0.001087,3.0795,1.0,0.003347
Franklin,10070,21,0.002185,3.0058,1.1053,0.007258
Fremont,6960,7,0.001149,2.7116,1.0,0.003117
Greene,8888,8,0.001013,2.6994,1.3333,0.003644
Grundy,12232,15,0.001308,3.0197,1.0,0.00395
Guthrie,10689,11,0.001123,2.9596,1.0,0.003323
Hamilton,14773,26,0.001828,2.8124,1.0,0.00514
Hancock,10630,20,0.001976,3.2552,1.0,0.006431
Hardin,16846,32,0.001959,3.1343,1.0,0.00614
Harrison,14049,26,0.001922,3.5071,1.0,0.00674
Henry,19954,29,0.001503,2.8747,1.0,0.004322
Howard,9158,46,0.005132,3.0155,1.6429,0.025425
Humboldt,9558,12,0.00136,3.1792,1.0,0.004324
Ida,6860,22,0.003353,3.3714,1.0,0.011303
Iowa,16184,34,0.002163,2.9961,1.0,0.006479
Jackson,19439,40,0.002109,3.1028,1.0256,0.006712
Jasper,37185,76,0.002071,3.1537,1.0,0.00653
Jefferson,18295,14,0.00082,2.8296,1.0,0.00232
Johnson,151140,177,0.001178,2.8071,1.0,0.003306
Jones,20681,34,0.001692,3.303,1.0,0.00559
Keokuk,10246,7,0.000781,2.8559,1.0,0.00223
Kossuth,14813,52,0.003578,2.8777,1.0,0.010296
Lee,33657,107,0.003209,3.1676,1.0,0.010164
Linn,226706,469,0.002073,2.9246,1.2608,0.007644
Louisa,11035,19,0.001812,3.0521,1.1176,0.006182
Lucas,8600,10,0.001279,2.9647,1.0,0.003792
Lyon,11755,19,0.001701,2.9956,1.0,0.005097
Madison,16338,61,0.003795,3.2719,1.4186,0.017614
Mahaska,22095,55,0.002535,2.9003,1.0,0.007351
Marion,33253,88,0.002676,2.9852,1.2571,0.010044
Marshall,39369,75,0.00193,2.9918,1.3158,0.007599
Mills,15109,20,0.00139,2.9086,1.0,0.004043
Mitchell,10586,9,0.000945,2.786,1.0,0.002632
Monona,8615,43,0.005107,3.2997,1.0,0.016853
Monroe,7707,12,0.001687,2.9983,1.0,0.005057
Montgomery,9917,30,0.003126,3.4648,1.0,0.010831
Muscatine,42664,50,0.001195,2.7184,1.0,0.00325
O'Brien,13753,12,0.000945,3.1004,1.0,0.002931
Osceola,5958,5,0.001007,3.176,1.0,0.003198
Page,15107,43,0.002913,3.4447,1.1026,0.011062
Palo Alto,8886,12,0.001463,2.7047,1.0,0.003957
Plymouth,25177,29,0.001192,3.0562,1.0,0.003642
Pocahontas,6619,6,0.001058,2.8578,1.0,0.003022
Polk,490161,1162,0.002373,3.1082,1.0,0.007375
Pottawattamie,93206,176,0.001899,3.0925,1.0,0.005873
Poweshiek,18504,43,0.002378,2.9437,1.4333,0.010033
Ringgold,4894,19,0.004087,3.3125,1.0,0.013537
Sac,9721,17,0.001852,3.1704,1.0,0.005871
Scott,172943,377,0.002186,3.0418,1.0,0.006648
Shelby,11454,38,0.003405,3.447,1.0,0.011737
Sioux,34855,31,0.000918,3.1072,1.0,0.002853
Story,97117,206,0.002131,3.0695,1.1381,0.007446
Tama,16854,35,0.002136,3.0578,1.0,0.006531
Taylor,6121,15,0.002614,3.0402,1.6667,0.013245
Union,12241,29,0.002451,3.3166,1.0,0.008128
Van Buren,7044,11,0.001704,2.6701,1.2222,0.00556
Wapello,34969,84,0.002431,3.1551,1.0,0.007669
Warren,51466,158,0.003089,3.1281,1.0,0.009664
Washington,21965,42,0.001958,2.9517,1.0,0.005778
Wayne,6441,7,0.001242,2.879,1.1667,0.004172
Webster,35904,43,0.001225,2.7665,1.0,0.00339
Winnebago,10354,25,0.002511,2.9934,1.0,0.007517
Winneshiek,19991,48,0.002451,2.763,1.0,0.006772
Woodbury,103107,126,0.001232,2.9901,1.0,0.003683
Worth,7381,6,0.000948,2.7963,1.0,0.002652
Wright,12562,13,0.001114,2.7116,1.0,0.003022
