Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,8535519,29021,0.0034,3.1023,1.0,0.010548
Accomack,32316,93,0.002909,3.0361,1.0,0.008831
Albemarle,109330,200,0.001838,2.7109,1.0,0.004984
Alleghany,14860,42,0.002894,3.2211,1.0,0.009321
Amelia,13145,35,0.002739,3.0197,1.0,0.00827
Amherst,31605,131,0.004177,3.3211,1.0,0.013871
Appomattox,15911,74,0.004714,3.5841,1.0,0.016894
Arlington,236842,500,0.002115,2.8709,1.0438,0.006339
Augusta,75558,150,0.001998,3.4433,1.0,0.006881
Bath,4147,0,0.000241,3.0745,1.0,0.000741
Bedford,78997,320,0.004063,3.3354,1.0,0.013553
Bland,6280,7,0.001274,2.4857,1.0,0.003166
Botetourt,33419,108,0.003262,3.0629,1.0693,0.010682
Brunswick,16231,36,0.00228,2.7908,1.0,0.006362
Buchanan,21004,131,0.006285,3.3317,2.0,0.041877
Buckingham,17148,94,0.00554,3.3944,1.0,0.018805
Campbell,54885,189,0.003462,3.4567,1.0,0.011966
Caroline,30725,133,0.004361,3.0715,1.1875,0.015907
Carroll,29791,50,0.001712,3.3921,1.0,0.005807
Charles City,6963,19,0.002872,3.4886,1.0,0.010021
Charlotte,11880,44,0.003788,3.3859,1.0,0.012825
Chesterfield,352802,1289,0.003656,3.0454,1.0,0.011135
Clarke,14619,50,0.003489,3.2068,1.0,0.011187
Craig,5131,10,0.002144,3.298,1.0,0.00707
Culpeper,52605,119,0.002281,3.0433,1.0,0.006942
Cumberland,9932,21,0.002215,3.0155,1.0,0.006679
Dickenson,14318,13,0.000978,3.3092,1.0,0.003236
Dinwiddie,28544,117,0.004134,3.2727,1.0174,0.013765
Essex,10953,28,0.002648,3.0048,1.0,0.007956
Fairfax,1147532,2553,0.002226,3.2854,1.0,0.007312
Fauquier,71222,192,0.00271,3.2391,1.0847,0.009521
Floyd,15749,20,0.001333,3.1204,1.0,0.004161
Fluvanna,27270,91,0.003374,2.8942,1.569,0.01532
Franklin,56042,194,0.00348,3.3551,1.0,0.011674
Frederick,89313,557,0.006248,3.1755,1.0,0.01984
Giles,16720,47,0.002871,2.9725,1.0,0.008533
Gloucester,37348,138,0.003722,3.2842,1.0781,0.013178
Goochland,23753,75,0.0032,2.9339,1.0,0.009387
Grayson,15550,24,0.001608,2.8954,1.0,0.004655
Greene,19819,62,0.003179,3.024,1.0164,0.00977
Greensville,11336,95,0.008469,3.0885,1.0106,0.026434
Halifax,33911,127,0.003775,3.2037,1.0,0.012093
Hanover,107766,340,0.003164,2.9841,1.0,0.009442
Henrico,330818,1213,0.00367,2.9896,1.0,0.010971
Henry,50557,199,0.003956,3.2487,1.0474,0.01346
Highland,2190,7,0.003653,2.6003,1.0,0.009499
Isle of Wight,37109,150,0.004069,3.1461,1.0,0.012802
James City,76523,301,0.003947,2.9846,1.0,0.011779
King and Queen,7025,13,0.001993,3.001,1.0,0.005981
King George,26836,140,0.005254,3.2149,1.157,0.019544
King William,17148,55,0.003266,2.8483,1.1224,0.010441
Lancaster,10603,49,0.004716,3.5997,1.1136,0.018904
