Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,21477737,68938,0.00321,3.0559,1.0,0.009809
Alachua,269043,893,0.003323,2.704,1.0,0.008985
Baker,29210,104,0.003595,3.1218,1.0,0.011222
Bay,174705,1100,0.006302,3.3749,1.0,0.021269
Bradford,28201,67,0.002411,2.9669,1.0,0.007154
Brevard,601942,1547,0.002572,2.9368,1.0,0.007552
Broward,1952778,6627,0.003394,3.1574,1.0,0.010717
Calhoun,14105,43,0.003119,3.0526,1.0,0.009523
Charlotte,188910,335,0.001779,2.8051,1.0,0.004989
Citrus,149657,362,0.002426,3.2184,1.0,0.007806
Clay,219252,616,0.002814,3.0583,1.0,0.008606
Collier,384902,943,0.002453,2.893,1.0,0.007095
Columbia,71686,172,0.002413,3.2144,1.0,0.007757
DeSoto,38001,74,0.001974,2.8158,1.0,0.005557
Dixie,16826,29,0.001783,2.9345,1.0,0.005232
Duval,957755,3440,0.003593,3.116,1.0,0.011195
Escambia,318316,1666,0.005237,3.4304,1.0,0.017965
Flagler,115081,292,0.002546,2.9736,1.0246,0.007757
Franklin,12125,51,0.004289,3.5471,1.0,0.015212
Gadsden,45660,140,0.003088,3.1978,1.0,0.009875
Gilchrist,18582,43,0.002368,3.21,1.0,0.007601
Glades,13811,10,0.000796,3.1247,1.0,0.002489
Gulf,13639,67,0.004986,3.4444,1.0,0.017173
Hamilton,14428,32,0.002287,3.2255,1.0,0.007377
Hardee,26937,84,0.003156,3.1121,1.0,0.00982
Hendry,42022,81,0.001951,3.2825,1.0,0.006405
Hernando,193920,423,0.002186,3.1965,1.0,0.006989
Highlands,106221,317,0.002994,2.8979,1.0709,0.009291
Hillsborough,1471968,3702,0.002516,2.9287,1.0,0.007368
Holmes,19617,63,0.003262,3.0735,1.3125,0.013161
Indian River,159923,451,0.002826,2.9753,1.0,0.008409
Jackson,46414,142,0.003081,2.8322,1.0,0.008726
Jefferson,14246,47,0.003369,2.9868,1.0,0.010064
Lafayette,8422,17,0.002137,3.6647,1.0,0.007832
Lake,367118,1067,0.002909,2.9939,1.0,0.00871
Lee,770577,1928,0.002503,3.034,1.0,0.007595
Leon,293582,1267,0.004319,2.9852,1.0,0.012893
Levy,41503,104,0.00253,3.0459,1.0,0.007706
Liberty,8354,27,0.003352,3.5418,1.0,0.011871
Madison,18493,50,0.002758,2.7812,1.0,0.00767
Manatee,403253,1238,0.003073,2.9918,1.0,0.009192
Marion,365579,1081,0.00296,3.1951,1.0,0.009457
Martin,161000,320,0.001994,2.8489,1.0884,0.006182
Miami-Dade,2716940,12592,0.004635,3.1309,1.0,0.014512
Monroe,74228,188,0.002546,2.9663,1.0,0.007553
Nassau,88625,330,0.003735,3.0835,1.0,0.011516
Okaloosa,210738,742,0.003526,3.3906,1.0,0.011954
Okeechobee,42168,133,0.003178,3.1588,1.0,0.010038
Orange,1393452,4506,0.003234,2.9471,1.0,0.009532
Osceola,375751,1295,0.003449,3.247,1.0,0.011199
Palm Beach,1496770,4651,0.003108,3.0994,1.0,0.009633
Pasco,553947,1227,0.002217,2.9879,1.0,0.006624
Pinellas,974996,2519,0.002585,2.8966,1.0,0.007487
Polk,724777,2331,0.003218,3.0989,1.0,0.009971
Putnam,74521,222,0.002992,3.048,1.0,0.009121
St. Johns,264672,824,0.003117,3.077,1.0,0.009591
St. Lucie,328297,849,0.002589,3.0649,1.0,0.007935
Santa Rosa,184313,717,0.003896,3.3406,1.0,0.013014
Sarasota,433742,955,0.002204,2.7922,1.0,0.006154
Seminole,471826,1032,0.002189,3.0308,1.0,0.006636
Sumter,132420,342,0.00259,3.1555,1.0823,0.008846
Suwannee,44417,102,0.002319,2.9437,1.0,0.006826
Taylor,21569,96,0.004497,3.3627,1.0,0.015123
Union,15237,28,0.001903,3.1077,1.0769,0.00637
Volusia,553284,1754,0.003172,3.0495,1.0,0.009673
Wakulla,33739,123,0.003675,2.9824,1.0,0.010961
Walton,74071,205,0.002781,3.4049,1.0,0.009469
Washington,25473,93,0.00369,3.0021,1.0,0.011078
