Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,28995881,143203,0.004939,3.3222,1.0912,0.017904
Anderson,57735,93,0.001628,3.3682,1.0,0.005484
Andrews,18705,19,0.001069,3.3293,1.0,0.00356
Angelina,86715,264,0.003056,3.6352,1.0,0.011109
Aransas,23510,71,0.003063,3.7241,1.6905,0.01928
Archer,8553,14,0.001754,2.7355,1.0,0.004798
Armstrong,1887,4,0.00265,2.9494,1.0,0.007815
Atascosa,51153,396,0.007761,3.1727,1.0,0.024624
Austin,30032,87,0.00293,3.4481,1.0,0.010104
Bailey,7000,7,0.001143,3.8991,1.0,0.004456
Bandera,23112,112,0.004889,3.3215,1.3659,0.022181
Bastrop,88723,2771,0.031243,3.2753,2.0,0.204661
Baylor,3509,6,0.001995,3.163,1.0,0.00631
Bee,32565,99,0.003071,3.2391,1.0,0.009947
Bell,362924,1230,0.003392,3.2749,1.2462,0.013843
Bexar,2003554,13422,0.0067,3.2127,1.0937,0.02354
Blanco,11931,268,0.022546,3.2496,2.0,0.146531
Borden,654,-1,0.0,3.3222,1.0,0.0
Bosque,18685,445,0.023869,3.3956,2.0,0.162102
Bowie,93245,846,0.009084,3.335,2.0,0.060587
Brazoria,374264,1466,0.00392,3.2144,1.0,0.0126
Brazos,229211,1012,0.00442,3.4817,1.0812,0.016637
Brewster,9203,-127,-0.013691,3.3203,1.0,-0.045459
Briscoe,1546,0,0.000647,3.3431,1.0,0.002162
Brooks,7093,25,0.003666,3.4615,1.3889,0.017623
Brown,37864,184,0.004886,3.2229,1.0,0.015747
Burleson,18443,718,0.038985,3.31,2.0,0.258082
Burnet,48155,1442,0.029966,3.3909,2.0,0.203224
Caldwell,43664,1928,0.044178,3.3273,2.0,0.293985
Calhoun,21290,88,0.00418,3.5641,1.0,0.014899
Callahan,13943,53,0.003873,3.1395,1.0,0.012159
Cameron,423163,1093,0.002585,3.5813,1.041,0.009638
Camp,13094,57,0.00443,3.6663,1.0755,0.017466
Carson,5926,8,0.001519,3.8991,1.0,0.005922
Cass,30026,82,0.002764,3.8107,1.2812,0.013496
Castro,7530,5,0.000797,2.5365,1.0,0.002021
Chambers,43837,95,0.00219,3.2629,1.0,0.007146
Cherokee,52646,139,0.002659,2.8425,1.0,0.007559
Childress,7306,20,0.002874,3.532,2.0,0.020304
Clay,10471,14,0.001433,3.7137,1.0,0.00532
Cochran,2853,6,0.002454,2.8224,1.2,0.00831
